year,iso_i,IO_GG,IO_HG,IO_LG,IO_GH,IO_HH,IO_LH,IO_GL,IO_HL,IO_LL
1995,AUS,98850.229,7076.748,36576.593,18494.022,26349.939,36325.144,61117.914,24930.288,73667.253
1996,AUS,107416.82,7329.6833,39051.241,20784.891,27508.175,39728.413,68577.652,26560.228,81845.803
1997,AUS,111270.05,7490.5733,39236.165,21684.872,29558.04,39718.433,62512.386,26671.805,82129.822
1998,AUS,102065.14,7109.3384,37018.183,20850.219,29384.819,36541.862,53890.52,24706.078,73694.525
1999,AUS,108318.11,8144.6148,40985.278,23438.686,35351.463,40019.175,55050.422,27155.334,77726.763
2000,AUS,98222.731,7749.6832,40904.017,22839.657,35174.39,40743.478,51020.651,25336.985,76160.542
2001,AUS,94284.548,7091.1613,38068.646,21839.957,32828.526,37264.155,47435.546,23106.604,70969.156
2002,AUS,107591.82,8224.478,43524.246,24876.837,34971.534,40231.799,52311.704,25223.268,77516.092
2003,AUS,137205.49,10144.57,54774.407,32995.778,45768.258,50414.256,63860.655,31955.419,96895.55
2004,AUS,179029.12,12260.275,66826.672,40603.897,54173.027,59134.287,78839.44,38593.257,115916.33
2005,AUS,198961.5,13565.366,72435.942,45477.383,60727.153,64615.447,85488.686,42644.431,125642.47
2006,AUS,215763.44,14167.01,75148.166,50988.133,69752.651,69822.215,90736.824,45065.594,127631.71
2007,AUS,253252.29,16664.327,88134.743,62297.328,85852.889,86207.685,108696.27,55940.258,155829.74
2008,AUS,275044.13,18775.748,95913.292,71972.628,99661.581,96947.951,123772.54,61920.27,169689.31
2009,AUS,288171.54,18780.854,97263.341,66904.341,99015.294,94172.791,105903.46,59788.804,155324.87
2010,AUS,353616.01,22607.802,117717.91,84106.822,125084.27,116866.03,130418.35,74312.042,191069.74
2011,AUS,400974.02,26303.787,134666.16,98802.474,147314.92,136978.91,150926.16,87044.37,221954.97
1995,BRA,221621.3,23157.383,38599.964,30013.035,30110.531,36178.894,67128.513,33697.157,56179.423
1996,BRA,236387.4,23249.706,41000.321,31782.317,30611.696,37514.215,72402.473,36238.846,63822.667
1997,BRA,242039.4,24488.554,43108.056,32028.017,31100.773,38992.551,75549.181,38912.926,69358.055
1998,BRA,224003.28,24302.032,42752.54,31043.563,32005.464,40235.702,72908.233,40334.862,73136.156
1999,BRA,162810.22,17206.73,31771.165,21332.831,21344.781,27632.095,51856.045,27310.52,52618.02
2000,BRA,201441.33,20259.251,37081.112,23392.047,22315.709,29222.405,64195.874,31410.482,62231.008
2001,BRA,174341.79,16182.527,32314.065,18712.792,18394.946,26344.793,56377.854,26350,57403.763
2002,BRA,167709.98,15811.231,30704.462,17041.367,17401.02,27460.349,53075.937,25582.35,51912.612
2003,BRA,200355.11,17225.51,35180.75,19675.528,17311.801,25339.746,59800.072,26082.952,53738.762
2004,BRA,251144.96,20350.2,40991.493,21554.541,19978.252,28527.634,74095.778,30616.689,63155.313
2005,BRA,321329.6,26184.773,55893.731,31690.772,24675.657,41176.746,102901.02,39855.226,86252.413
2006,BRA,371899.39,31940.996,66752.146,40199.276,33094.328,50854.58,123216.83,51291.8,103651.84
2007,BRA,461755.87,40127.504,83312.222,53877.912,41650.522,65665.644,154430.37,62557.849,131653.97
2008,BRA,587873.33,46005.089,104162.35,66277.332,49509.473,75247.979,186853.92,74037.992,161439.85
2009,BRA,482662.84,46122.481,97856.484,62383.522,50673.835,78227.66,170593.52,75156.671,159687.54
