year,iso_i,M_i_G,M_i_H,M_i_L
1995,AUS,286173.53,147143.98,315741.31
1996,AUS,311372.72,160874.62,350239.4
1997,AUS,310911.57,166623.6,352200.07
1998,AUS,283601.9,155036.34,316769.79
1999,AUS,303880.34,174651.98,339299.78
2000,AUS,275363.76,172182.76,326857.02
2001,AUS,261962.13,161645.31,307131.31
2002,AUS,300509.18,178865,342469.49
2003,AUS,387837.34,230884.03,432860.93
2004,AUS,486316.07,278134.98,518952.09
2005,AUS,539304.29,311927.73,564229.75
2006,AUS,577829.68,345205.55,588224.72
2007,AUS,691510.19,420220.65,717745.36
2008,AUS,741602.53,474156.59,782504.57
2009,AUS,749230.04,464952.53,746837.63
2010,AUS,916026.2,584472.43,920903.76
2011,AUS,1064271.5,687689.57,1070156.8
1995,BRA,559443.16,264775.85,445012.94
1996,BRA,593004.01,280291.19,503889.8
1997,BRA,613391.7,286476.03,534621.25
1998,BRA,576275.83,285163.86,530847.29
1999,BRA,407223.09,196280.64,370843.27
2000,BRA,485345.55,204524.07,413704.51
2001,BRA,415169.98,174724.82,361476.46
2002,BRA,383399.17,169323.48,333564.71
2003,BRA,435463.52,175048.35,348413.84
2004,BRA,536414.71,196549.68,412317.73
2005,BRA,693326.61,266648.54,565187.5
2006,BRA,826633.89,340109.03,690211.58
2007,BRA,1046178.9,432982.97,868917.44
2008,BRA,1331044.5,506879.67,1042455.7
2009,BRA,1172165.8,521030.62,1039763.9
2010,BRA,1550443.5,665687.13,1333676.2
2011,BRA,1703667.2,766886.26,1535388.8
1995,CHN,1375410,136610.11,350970.43
1996,CHN,1629231.6,164109.57,408299.91
1997,CHN,1767657,198826.2,459505.95
1998,CHN,1848532.2,216356.96,527623.38
1999,CHN,1947007.2,235647.6,590487.34
2000,CHN,2151983.8,262283.12,666163.25
2001,CHN,2353925,294185.85,761641.47
2002,CHN,2566002.7,321780.14,849423.76
2003,CHN,3061669.3,371095.66,961860.04
2004,CHN,3691224.3,433050.32,1163398.7
2005,CHN,4452846.4,521965.87,1386017.8
2006,CHN,5633591.4,652384.91,1614748.7
2007,CHN,7362955.5,896578.62,2113007.5
2008,CHN,9588452.5,1174207.9,2734105.4
2009,CHN,10440874,1351503.1,3073255.4
2010,CHN,12525286,1569092.4,3666021.1
2011,CHN,15524057,1913447.5,4538784.4
1995,DEU,1756229.2,880076.19,1579530
1996,DEU,1646998,884138.65,1534406.2
1997,DEU,1460106.5,799345.67,1362696.2
1998,DEU,1476787.4,816253.99,1383655.3
1999,DEU,1449701.3,839415.63,1369553.6
2000,DEU,1360524.1,747591.5,1225365.5
2001,DEU,1308722.8,751578.32,1220663.5
2002,DEU,1298236.6,802374.63,1286080.1
2003,DEU,1567337.8,1003469.7,1552962.4
2004,DEU,1775190.8,1128944.4,1748514.9
2005,DEU,1831604.9,1173150.6,1799222.2
2006,DEU,2018362.6,1209619,1879014.7
