iso_i,code,year,k_ppi
AUS,AtB,1995,100
AUS,AtB,1996,101.2867334
AUS,AtB,1997,106.5891884
AUS,AtB,1998,108.4092759
AUS,AtB,1999,110.7702001
AUS,AtB,2000,121.0122863
AUS,AtB,2001,127.9393411
AUS,AtB,2002,115.7619866
AUS,AtB,2003,118.7846489
AUS,AtB,2004,118.5488294
AUS,AtB,2005,116.8849595
AUS,AtB,2006,115.9583286
AUS,AtB,2007,113.4389455
AUS,AtB,2008,115.7607227
AUS,AtB,2009,113.9214589
AUS,AtB,2010,.
AUS,AtB,2011,.
AUS,C,1995,100
AUS,C,1996,100.238752
AUS,C,1997,102.431713
AUS,C,1998,106.5476871
AUS,C,1999,106.998839
AUS,C,2000,108.3290589
AUS,C,2001,108.1278555
AUS,C,2002,107.1098995
AUS,C,2003,103.7789078
AUS,C,2004,105.5624308
AUS,C,2005,114.0243702
AUS,C,2006,120.2655316
AUS,C,2007,118.9527815
AUS,C,2008,121.3874114
AUS,C,2009,119.4587481
AUS,C,2010,.
AUS,C,2011,.
AUS,15t16,1995,100
AUS,15t16,1996,95.69112204
AUS,15t16,1997,91.74048979
AUS,15t16,1998,86.43112849
AUS,15t16,1999,94.19682105
AUS,15t16,2000,92.81616026
AUS,15t16,2001,89.87412504
AUS,15t16,2002,88.90358034
AUS,15t16,2003,69.41747694
AUS,15t16,2004,59.76624617
AUS,15t16,2005,56.47849574
AUS,15t16,2006,48.29155503
AUS,15t16,2007,38.15425327
AUS,15t16,2008,38.93516387
AUS,15t16,2009,38.31654269
AUS,15t16,2010,.
AUS,15t16,2011,.
AUS,17t18,1995,100
AUS,17t18,1996,96.87232691
AUS,17t18,1997,94.17697826
AUS,17t18,1998,92.95442603
AUS,17t18,1999,86.57747779
AUS,17t18,2000,95.91839979
AUS,17t18,2001,86.50675415
AUS,17t18,2002,70.66264052
AUS,17t18,2003,65.5919701
AUS,17t18,2004,56.3077139
AUS,17t18,2005,52.73081707
AUS,17t18,2006,44.82022258
AUS,17t18,2007,35.29597748
AUS,17t18,2008,36.01838719
AUS,17t18,2009,35.44610921
AUS,17t18,2010,.
AUS,17t18,2011,.
AUS,19,1995,100
AUS,19,1996,96.87232691
AUS,19,1997,94.17697826
AUS,19,1998,92.95442603
AUS,19,1999,86.57747779
AUS,19,2000,95.91839979
AUS,19,2001,86.50675415
AUS,19,2002,70.66264052
AUS,19,2003,65.5919701
AUS,19,2004,56.3077139
AUS,19,2005,52.73081707
AUS,19,2006,44.82022258
AUS,19,2007,35.29597748
AUS,19,2008,36.01838719
AUS,19,2009,35.44610921
AUS,19,2010,.
AUS,19,2011,.
AUS,20,1995,100
AUS,20,1996,98.58991193
AUS,20,1997,99.30648597
AUS,20,1998,97.03233503
AUS,20,1999,91.73285227
AUS,20,2000,105.5271269
AUS,20,2001,100.9575003
AUS,20,2002,108.165702
AUS,20,2003,100.9761609
AUS,20,2004,94.87546459
AUS,20,2005,94.34768187
AUS,20,2006,90.49370437
AUS,20,2007,80.90164355
AUS,20,2008,82.55747337
AUS,20,2009,81.24575934
AUS,20,2010,.
AUS,20,2011,.
AUS,21t22,1995,100
AUS,21t22,1996,90.80371903
AUS,21t22,1997,92.19302736
AUS,21t22,1998,93.24052379
AUS,21t22,1999,82.32480385
AUS,21t22,2000,79.49862374
AUS,21t22,2001,64.50156799
AUS,21t22,2002,59.1732916
AUS,21t22,2003,57.54801715
AUS,21t22,2004,50.03372455
AUS,21t22,2005,46.03746438
AUS,21t22,2006,38.76676645
AUS,21t22,2007,30.40801336
