iso_i,code,year,comp_i
AUS,AtB,1995,4171
AUS,AtB,1996,4656
AUS,AtB,1997,4652
AUS,AtB,1998,5134
AUS,AtB,1999,5267
AUS,AtB,2000,5746
AUS,AtB,2001,5777
AUS,AtB,2002,5568
AUS,AtB,2003,5851
AUS,AtB,2004,6092
AUS,AtB,2005,6048
AUS,AtB,2006,6288.764331
AUS,AtB,2007,7063.06242
AUS,AtB,2008,7910.724721
AUS,AtB,2009,8213.228464
AUS,AtB,2010,.
AUS,AtB,2011,.
AUS,C,1995,6569
AUS,C,1996,6782
AUS,C,1997,6791
AUS,C,1998,6821
AUS,C,1999,6272
AUS,C,2000,6649
AUS,C,2001,7106
AUS,C,2002,7714
AUS,C,2003,8100
AUS,C,2004,8767
AUS,C,2005,11142
AUS,C,2006,12571.07635
AUS,C,2007,14492.17698
AUS,C,2008,15710.72601
AUS,C,2009,21477.9118
AUS,C,2010,.
AUS,C,2011,.
AUS,15t16,1995,7334.896541
AUS,15t16,1996,7360.304452
AUS,15t16,1997,7755.928533
AUS,15t16,1998,8257.483372
AUS,15t16,1999,8259.795264
AUS,15t16,2000,8768.367872
AUS,15t16,2001,9264.251574
AUS,15t16,2002,9796.208287
AUS,15t16,2003,9831.893799
AUS,15t16,2004,10843.45941
AUS,15t16,2005,11306.31236
AUS,15t16,2006,12001.70542
AUS,15t16,2007,12595.78293
AUS,15t16,2008,13459.01002
AUS,15t16,2009,13325.75611
AUS,15t16,2010,.
AUS,15t16,2011,.
AUS,17t18,1995,2194.110564
AUS,17t18,1996,2336.766302
AUS,17t18,1997,2307.832681
AUS,17t18,1998,2305.803486
AUS,17t18,1999,1970.946489
AUS,17t18,2000,1865.281913
AUS,17t18,2001,1853.251018
AUS,17t18,2002,1838.375769
AUS,17t18,2003,1771.53395
AUS,17t18,2004,1509.445926
AUS,17t18,2005,1573.876609
AUS,17t18,2006,1670.677655
AUS,17t18,2007,1753.375237
AUS,17t18,2008,1873.539344
AUS,17t18,2009,1854.989953
AUS,17t18,2010,.
AUS,17t18,2011,.
AUS,19,1995,330.3605913
AUS,19,1996,340.0723387
AUS,19,1997,341.9259044
AUS,19,1998,348.0923893
AUS,19,1999,296.0300939
AUS,19,2000,278.7202859
AUS,19,2001,275.4832594
AUS,19,2002,289.9333861
AUS,19,2003,274.7441951
AUS,19,2004,240.826287
AUS,19,2005,251.1059544
AUS,19,2006,266.5501886
AUS,19,2007,279.7442695
AUS,19,2008,298.9159903
AUS,19,2009,295.9565063
AUS,19,2010,.
AUS,19,2011,.
AUS,20,1995,1378.988611
AUS,20,1996,1487.68914
AUS,20,1997,1602.878539
