sector,year,iso_j,emp
G,1995,AUS,2215.275
H,1995,AUS,2373.96
L,1995,AUS,3699.585
G,1996,AUS,2222.875
H,1996,AUS,2407.08
L,1996,AUS,3724.595
G,1997,AUS,2235.7
H,1997,AUS,2504.75
L,1997,AUS,3736.525
G,1998,AUS,2213.875
H,1998,AUS,2598.96
L,1998,AUS,3828.78
G,1999,AUS,2302.975
H,1999,AUS,2649.96
L,1999,AUS,3880.605
G,2000,AUS,2292.726
H,2000,AUS,2803.0819
L,2000,AUS,3916.3545
G,2001,AUS,2294.8278
H,2001,AUS,2827.814
L,2001,AUS,4006.919
G,2002,AUS,2292.6359
H,2002,AUS,2920.8611
L,2002,AUS,4153.4058
G,2003,AUS,2309.9611
H,2003,AUS,2989.6144
L,2003,AUS,4219.2549
G,2004,AUS,2382.6146
H,2004,AUS,3030.8359
L,2004,AUS,4360.2949
G,2005,AUS,2412.8816
H,2005,AUS,3204.7634
L,2005,AUS,4411.2309
G,2006,AUS,2473.7817
H,2006,AUS,3353.3126
L,2006,AUS,4461.0268
G,2007,AUS,2518.9137
H,2007,AUS,3431.9591
L,2007,AUS,4607.5293
G,2008,AUS,2610.3737
H,2008,AUS,3528.9035
L,2008,AUS,4721.9355
G,2009,AUS,2561.89
H,2009,AUS,3623.7353
L,2009,AUS,4749.7954
G,2010,AUS,2589.9675
H,2010,AUS,3786.9023
L,2010,AUS,4766.4298
G,2011,AUS,2570.888
H,2011,AUS,3908.109
L,2011,AUS,4852.5552
G,1995,BRA,33276.572
H,1995,BRA,11315.54
L,1995,BRA,28953.11
G,1996,BRA,31673.51
H,1996,BRA,11422.25
L,1996,BRA,28889.885
G,1997,BRA,31871.845
H,1997,BRA,11656.298
L,1997,BRA,29600.093
G,1998,BRA,31054.144
H,1998,BRA,11703.544
L,1998,BRA,29987.173
G,1999,BRA,33028.389
H,1999,BRA,12350.441
L,1999,BRA,31262.178
G,2000,BRA,32670.438
H,2000,BRA,13022.659
L,2000,BRA,33279.25
G,2001,BRA,31847.866
H,2001,BRA,13431.513
L,2001,BRA,34265.035
G,2002,BRA,32861.274
H,2002,BRA,13839.195
L,2002,BRA,35928.598
G,2003,BRA,33307.146
H,2003,BRA,14103.728
L,2003,BRA,36624.107
G,2004,BRA,35571.355
H,2004,BRA,14996.647
L,2004,BRA,37684.471
G,2005,BRA,36802.967
H,2005,BRA,15323.833
L,2005,BRA,38778.873
G,2006,BRA,36247.695
H,2006,BRA,16200.704
L,2006,BRA,40798.564
G,2007,BRA,36215.662
H,2007,BRA,17079.716
L,2007,BRA,41418.531
G,2008,BRA,36840.468
H,2008,BRA,17727.778
L,2008,BRA,41664.363
G,2009,BRA,36215.161
H,2009,BRA,18112.673
L,2009,BRA,42319.305
G,2010,BRA,36832.739
H,2010,BRA,19835.691
L,2010,BRA,45222.139
G,2011,BRA,36054.882
H,2011,BRA,21502.859
L,2011,BRA,48275.413
G,1995,CHN,509028.05
H,1995,CHN,27825.892
L,1995,CHN,143796.06
G,1996,CHN,507414.37
H,1996,CHN,29290.863
L,1996,CHN,152794.76
G,1997,CHN,510847.13
H,1997,CHN,29466.398
L,1997,CHN,157886.48
G,1998,CHN,515006.76
H,1998,CHN,29646.648
L,1998,CHN,161716.59
G,1999,CHN,518807.13
H,1999,CHN,30750.056
L,1999,CHN,164382.81
G,2000,CHN,519407.56
H,2000,CHN,30016.209
L,2000,CHN,171426.24
G,2001,CHN,524773.64
H,2001,CHN,30451.26
L,2001,CHN,175025.1
G,2002,CHN,523275.91
H,2002,CHN,30425.726
L,2002,CHN,183698.37
G,2003,CHN,522828.52
H,2003,CHN,31220.496
L,2003,CHN,190270.99
G,2004,CHN,518250.85
H,2004,CHN,32651.804
L,2004,CHN,201097.34
G,2005,CHN,516830.28
H,2005,CHN,33730.217
L,2005,CHN,207689.5
G,2006,CHN,513996.11
H,2006,CHN,34926.405
L,2006,CHN,215077.49
G,2007,CHN,516784.22
H,2007,CHN,35356.351
L,2007,CHN,217759.43
G,2008,CHN,513720.86
H,2008,CHN,36491.523
L,2008,CHN,224587.62
G,2009,CHN,509904.37
H,2009,CHN,37748.726
L,2009,CHN,232296.9
G,2010,CHN,516444.14
H,2010,CHN,39109.729
L,2010,CHN,243793.66
G,2011,CHN,514439.26
H,2011,CHN,40523.34
L,2011,CHN,253602.17
G,1995,DEU,12953
H,1995,DEU,9332
L,1995,DEU,15316
G,1996,DEU,12501
H,1996,DEU,9650
L,1996,DEU,15347
G,1997,DEU,12213
H,1997,DEU,9889
L,1997,DEU,15361
G,1998,DEU,12137
H,1998,DEU,10233
L,1998,DEU,15541
G,1999,DEU,11978
H,1999,DEU,10684
L,1999,DEU,15762
G,2000,DEU,11942
H,2000,DEU,11174
L,2000,DEU,16028
G,2001,DEU,11768
H,2001,DEU,11455
L,2001,DEU,16093
G,2002,DEU,11403
H,2002,DEU,11670
L,2002,DEU,16023
G,2003,DEU,11051
H,2003,DEU,11813
L,2003,DEU,15862
G,2004,DEU,10854
H,2004,DEU,12074
L,2004,DEU,15952
G,2005,DEU,10637
H,2005,DEU,12225
L,2005,DEU,15973
G,2006,DEU,10550
H,2006,DEU,12506
L,2006,DEU,16019
G,2007,DEU,10684
H,2007,DEU,12841
L,2007,DEU,16199
G,2008,DEU,10603.651
H,2008,DEU,13156.399
L,2008,DEU,16690.308
G,2009,DEU,10301.985
H,2009,DEU,13943.438
L,2009,DEU,16604.344
G,2010,DEU,10022.135
H,2010,DEU,14423.768
L,2010,DEU,16679.27
G,2011,DEU,10414.452
H,2011,DEU,14853.682
L,2011,DEU,16718.501
G,1995,IND,295074.71
H,1995,IND,13961.74
L,1995,IND,71750.984
G,1996,IND,305346.12
H,1996,IND,14178.674
L,1996,IND,73976.047
G,1997,IND,307321.77
H,1997,IND,14568.617
L,1997,IND,76080.367
G,1998,IND,308913.68
H,1998,IND,14736.29
L,1998,IND,77896.906
G,1999,IND,303771.9
H,1999,IND,14977.788
L,1999,IND,79663.14
G,2000,IND,318051.41
H,2000,IND,16106.851
L,2000,IND,82725.001
G,2001,IND,329059.88
H,2001,IND,17319.303
L,2001,IND,85996.572
G,2002,IND,318732.9
H,2002,IND,18297.868
L,2002,IND,87175.022
G,2003,IND,335433.65
H,2003,IND,20031.249
L,2003,IND,93558.35
G,2004,IND,343119.54
H,2004,IND,21147.423
L,2004,IND,93632.661
G,2005,IND,353253.47
H,2005,IND,21621.299
L,2005,IND,94902.466
G,2006,IND,355193.86
H,2006,IND,22228.514
L,2006,IND,94345.579
G,2007,IND,342173.61
H,2007,IND,23171.202
L,2007,IND,94885.274
G,2008,IND,342321.71
H,2008,IND,24084.164
L,2008,IND,96972.797
G,2009,IND,341934.16
H,2009,IND,24945.462
L,2009,IND,98948.052
G,2010,IND,344615.52
H,2010,IND,28233.927
L,2010,IND,102237.51
G,2011,IND,344245.7
H,2011,IND,31362.498
L,2011,IND,104694.99
G,1995,JPN,25472.622
H,1995,JPN,12779.689
L,1995,JPN,28605.438
G,1996,JPN,25067.18
H,1996,JPN,12977.014
L,1996,JPN,28862.532
G,1997,JPN,24934.703
H,1997,JPN,13358.168
L,1997,JPN,29080.805
G,1998,JPN,23873.773
H,1998,JPN,13638.31
L,1998,JPN,29067.547
G,1999,JPN,23178.805
H,1999,JPN,13651.978
L,1999,JPN,28832.814
G,2000,JPN,22646.044
H,2000,JPN,13935.656
L,2000,JPN,28670.881
G,2001,JPN,21898.194
H,2001,JPN,14276.946
L,2001,JPN,28584.439
G,2002,JPN,20924.817
H,2002,JPN,14468.2
L,2002,JPN,28354.558
G,2003,JPN,20513.608
H,2003,JPN,14636.727
L,2003,JPN,28386.233
G,2004,JPN,20028.291
H,2004,JPN,15067.764
L,2004,JPN,28580.498
G,2005,JPN,19792.369
H,2005,JPN,15598.862
L,2005,JPN,28525.32
G,2006,JPN,19780.134
H,2006,JPN,15899.231
L,2006,JPN,28518.073
G,2007,JPN,19768.136
H,2007,JPN,16075.171
L,2007,JPN,28594.956
G,2008,JPN,18809.795
H,2008,JPN,15776.216
L,2008,JPN,28459.001
G,2009,JPN,16679.421
H,2009,JPN,15021.395
L,2009,JPN,26428.408
G,2010,JPN,16355.558
H,2010,JPN,15061.636
L,2010,JPN,26342.314
G,2011,JPN,16239.014
H,2011,JPN,15320.349
L,2011,JPN,26227.527
G,1995,MEX,15097.492
H,1995,MEX,4550.4543
L,1995,MEX,13479.923
G,1996,MEX,15813.33
H,1996,MEX,4709.1067
L,1996,MEX,13784.082
G,1997,MEX,16119.525
H,1997,MEX,4900.0415
L,1997,MEX,14169.739
G,1998,MEX,16717.151
H,1998,MEX,5128.1622
L,1998,MEX,14709.628
G,1999,MEX,17147.705
H,1999,MEX,5362.0312
L,1999,MEX,15459.657
G,2000,MEX,17469.17
H,2000,MEX,5536.6405
L,2000,MEX,16219.724
G,2001,MEX,17468.796
H,2001,MEX,5741.4655
L,2001,MEX,16893.119
G,2002,MEX,17501.118
H,2002,MEX,5945.3624
L,2002,MEX,17511.594
G,2003,MEX,17759.744
H,2003,MEX,6045.2902
L,2003,MEX,17850.885
G,2004,MEX,18110.854
H,2004,MEX,6490.072
L,2004,MEX,18431.531
G,2005,MEX,18292.594
H,2005,MEX,6968.5878
L,2005,MEX,18440.651
G,2006,MEX,18749.24
H,2006,MEX,7280.2663
L,2006,MEX,19239.171
G,2007,MEX,18719.588
H,2007,MEX,7630.2607
L,2007,MEX,19730.267
G,2008,MEX,20343.005
H,2008,MEX,8266.831
L,2008,MEX,21084.537
G,2009,MEX,19698.038
H,2009,MEX,8553.444
L,2009,MEX,20804.118
G,2010,MEX,20236.577
H,2010,MEX,8716.9079
L,2010,MEX,21152.461
G,2011,MEX,21010.853
H,2011,MEX,8925.0443
L,2011,MEX,21450.628
G,1995,RoW,188493.69
H,1995,RoW,69019.782
L,1995,RoW,131896
G,1996,RoW,185233.48
H,1996,RoW,70421.963
L,1996,RoW,135722.84
G,1997,RoW,181714.4
H,1997,RoW,71527.212
L,1997,RoW,141626.66
G,1998,RoW,179592.92
H,1998,RoW,72827.909
L,1998,RoW,143064.34
G,1999,RoW,181050.44
H,1999,RoW,74225.09
L,1999,RoW,148118.38
G,2000,RoW,182824.6
H,2000,RoW,75221.778
L,2000,RoW,150881.99
G,2001,RoW,181070.66
H,2001,RoW,77414.643
L,2001,RoW,153181.49
G,2002,RoW,179110.87
H,2002,RoW,78587.723
L,2002,RoW,155248.73
G,2003,RoW,179542.55
H,2003,RoW,79812.476
L,2003,RoW,156504.13
G,2004,RoW,177295.57
H,2004,RoW,81010.232
L,2004,RoW,161121.86
G,2005,RoW,178176.15
H,2005,RoW,82705.121
L,2005,RoW,163027.45
G,2006,RoW,176318.53
H,2006,RoW,85830.641
L,2006,RoW,168026.14
G,2007,RoW,178552.27
H,2007,RoW,88284.186
L,2007,RoW,173604.56
G,2008,RoW,178964.33
H,2008,RoW,89902.305
L,2008,RoW,177331.21
G,2009,RoW,173563.67
H,2009,RoW,90041.15
L,2009,RoW,177348.77
G,2010,RoW,175545.89
H,2010,RoW,92217.032
L,2010,RoW,180615.58
G,2011,RoW,176875.76
H,2011,RoW,94468.798
L,2011,RoW,183798.4
G,1995,USA,29036.55
H,1995,USA,36039.896
L,1995,USA,68902.874
G,1996,USA,29205.264
H,1996,USA,37068.152
L,1996,USA,69749.51
G,1997,USA,29635.131
H,1997,USA,38377.836
L,1997,USA,70534.865
G,1998,USA,30046.956
H,1998,USA,40007.119
L,1998,USA,71833.34
G,1999,USA,30078.558
H,1999,USA,41215.023
L,1999,USA,73240.833
G,2000,USA,30235.097
H,2000,USA,42539.159
L,2000,USA,74942.422
G,2001,USA,29540.584
H,2001,USA,42440.425
L,2001,USA,74836.82
G,2002,USA,28056.798
H,2002,USA,42280.771
L,2002,USA,75061.469
G,2003,USA,27285.489
H,2003,USA,42674.469
L,2003,USA,75229.078
G,2004,USA,27410.756
H,2004,USA,43609.012
L,2004,USA,75845.231
G,2005,USA,27450.301
H,2005,USA,44590.03
L,2005,USA,76863
G,2006,USA,27904.104
H,2006,USA,45770.917
L,2006,USA,77644.37
G,2007,USA,27487.514
H,2007,USA,46543.076
L,2007,USA,78536.558
G,2008,USA,26476.692
H,2008,USA,46615.999
L,2008,USA,78650.1
G,2009,USA,23435.882
H,2009,USA,45364.993
L,2009,USA,76543.954
G,2010,USA,22556.411
H,2010,USA,45495.299
L,2010,USA,76488.677
G,2011,USA,22755.301
H,2011,USA,46185.35
L,2011,USA,76607.834
