country,iso,year,er
Australia,AUS,1995,0.741497
Australia,AUS,1996,0.782946
Australia,AUS,1997,0.744063
Australia,AUS,1998,0.629401
Australia,AUS,1999,0.645333
Australia,AUS,2000,0.582346
Australia,AUS,2001,0.517636
Australia,AUS,2002,0.543903
Australia,AUS,2003,0.651884
Australia,AUS,2004,0.736579
Australia,AUS,2005,0.763844
Australia,AUS,2006,0.75335
Australia,AUS,2007,0.838561
Australia,AUS,2008,0.855265
Australia,AUS,2009,0.791304
Australia,AUS,2010,0.919499
Australia,AUS,2011,1.03221
Austria,AUT,1995,1.366456959
Austria,AUT,1996,1.300307069
Austria,AUT,1997,1.129044999
Austria,AUT,1998,1.113190382
Austria,AUT,1999,1.0658
Austria,AUT,2000,0.9236
Austria,AUT,2001,0.8956
Austria,AUT,2002,0.9456
Austria,AUT,2003,1.1312
Austria,AUT,2004,1.2439
Austria,AUT,2005,1.2441
Austria,AUT,2006,1.2556
Austria,AUT,2007,1.3705
Austria,AUT,2008,1.4708
Austria,AUT,2009,1.3948
Austria,AUT,2010,1.3257
Austria,AUT,2011,1.392
Belgium,BEL,1995,1.369955106
Belgium,BEL,1996,1.303438645
Belgium,BEL,1997,1.129226753
Belgium,BEL,1998,1.112933467
Belgium,BEL,1999,1.0658
Belgium,BEL,2000,0.9236
Belgium,BEL,2001,0.8956
Belgium,BEL,2002,0.9456
Belgium,BEL,2003,1.1312
Belgium,BEL,2004,1.2439
Belgium,BEL,2005,1.2441
Belgium,BEL,2006,1.2556
Belgium,BEL,2007,1.3705
Belgium,BEL,2008,1.4708
Belgium,BEL,2009,1.3948
Belgium,BEL,2010,1.3257
Belgium,BEL,2011,1.392
Bulgaria,BGR,1995,14.893
Bulgaria,BGR,1996,7.75075
Bulgaria,BGR,1997,0.643228
Bulgaria,BGR,1998,0.569163
Bulgaria,BGR,1999,0.545261
Bulgaria,BGR,2000,0.472262
Bulgaria,BGR,2001,0.458044
Bulgaria,BGR,2002,0.482969
Bulgaria,BGR,2003,0.578154
Bulgaria,BGR,2004,0.635519
Bulgaria,BGR,2005,0.636257
Bulgaria,BGR,2006,0.641894
Bulgaria,BGR,2007,0.700774
Bulgaria,BGR,2008,0.751572
Bulgaria,BGR,2009,0.7127
Bulgaria,BGR,2010,0.678135
Bulgaria,BGR,2011,0.711664
Brazil,BRA,1995,1.09202
Brazil,BRA,1996,0.995325
Brazil,BRA,1997,0.928042
Brazil,BRA,1998,0.862287
Brazil,BRA,1999,0.554318
Brazil,BRA,2000,0.547301
Brazil,BRA,2001,0.428403
Brazil,BRA,2002,0.353546
Brazil,BRA,2003,0.326987
Brazil,BRA,2004,0.342416
Brazil,BRA,2005,0.412599
Brazil,BRA,2006,0.459701
Brazil,BRA,2007,0.513595
Brazil,BRA,2008,0.545326
Brazil,BRA,2009,0.500143
Brazil,BRA,2010,0.568432
Brazil,BRA,2011,0.59779
Canada,CAN,1995,0.728839
Canada,CAN,1996,0.733472
Canada,CAN,1997,0.722401
Canada,CAN,1998,0.674836
Canada,CAN,1999,0.673102
Canada,CAN,2000,0.673605
Canada,CAN,2001,0.645873
Canada,CAN,2002,0.637357
Canada,CAN,2003,0.715811
Canada,CAN,2004,0.769982
Canada,CAN,2005,0.825788
Canada,CAN,2006,0.88179
Canada,CAN,2007,0.935167
Canada,CAN,2008,0.94289
Canada,CAN,2009,0.878874
Canada,CAN,2010,0.970943
Canada,CAN,2011,1.01113
