iso_i,code,year,ppi_i
AUS,AtB,1995,100
AUS,AtB,1996,97.18786887
AUS,AtB,1997,99.87996272
AUS,AtB,1998,91.38815065
AUS,AtB,1999,89.77489304
AUS,AtB,2000,97.87899716
AUS,AtB,2001,106.0470285
AUS,AtB,2002,106.6518206
AUS,AtB,2003,98.70990558
AUS,AtB,2004,99.77188135
AUS,AtB,2005,103.274254
AUS,AtB,2006,106.0516129
AUS,AtB,2007,111.7626008
AUS,AtB,2008,117.0458094
AUS,AtB,2009,103.3378601
AUS,AtB,2010,.
AUS,AtB,2011,.
AUS,C,1995,100
AUS,C,1996,101.4764984
AUS,C,1997,105.2100525
AUS,C,1998,104.2460156
AUS,C,1999,103.8834169
AUS,C,2000,121.7331387
AUS,C,2001,119.1281409
AUS,C,2002,118.835225
AUS,C,2003,118.6495021
AUS,C,2004,145.934595
AUS,C,2005,215.6816025
AUS,C,2006,222.1775123
AUS,C,2007,232.3327264
AUS,C,2008,248.7696377
AUS,C,2009,330.6378821
AUS,C,2010,.
AUS,C,2011,.
AUS,15t16,1995,100
AUS,15t16,1996,100.7509972
AUS,15t16,1997,102.8044908
AUS,15t16,1998,105.1094181
AUS,15t16,1999,105.532565
AUS,15t16,2000,110.2580873
AUS,15t16,2001,117.2582998
AUS,15t16,2002,118.3676236
AUS,15t16,2003,122.0110855
AUS,15t16,2004,127.6666166
AUS,15t16,2005,130.3554586
AUS,15t16,2006,135.8274114
AUS,15t16,2007,140.1925956
AUS,15t16,2008,149.983221
AUS,15t16,2009,153.2883304
AUS,15t16,2010,.
AUS,15t16,2011,.
AUS,17t18,1995,100
AUS,17t18,1996,99.57099911
AUS,17t18,1997,99.27621301
AUS,17t18,1998,95.31731762
AUS,17t18,1999,91.07924855
AUS,17t18,2000,91.54223605
AUS,17t18,2001,97.64085211
AUS,17t18,2002,106.6938058
AUS,17t18,2003,112.7758987
AUS,17t18,2004,116.1475794
AUS,17t18,2005,126.0610088
AUS,17t18,2006,124.93553
AUS,17t18,2007,130.8503522
AUS,17t18,2008,133.5731164
AUS,17t18,2009,147.5334569
AUS,17t18,2010,.
AUS,17t18,2011,.
AUS,19,1995,100
AUS,19,1996,99.06328785
AUS,19,1997,97.18471151
AUS,19,1998,97.85111638
AUS,19,1999,87.73221275
AUS,19,2000,88.49160798
AUS,19,2001,95.02909605
AUS,19,2002,102.3361144
AUS,19,2003,105.4586429
AUS,19,2004,105.981865
AUS,19,2005,114.1682605
AUS,19,2006,124.93553
AUS,19,2007,130.8503522
AUS,19,2008,133.5731164
AUS,19,2009,147.5334569
AUS,19,2010,.
AUS,19,2011,.
AUS,20,1995,100
AUS,20,1996,98.67481105
AUS,20,1997,99.94402908
AUS,20,1998,108.001108
AUS,20,1999,108.668987
AUS,20,2000,116.733311
AUS,20,2001,108.3493061
AUS,20,2002,124.0966162
AUS,20,2003,132.0277146
AUS,20,2004,142.6422991
AUS,20,2005,151.1633331
AUS,20,2006,152.4152034
AUS,20,2007,162.4301654
AUS,20,2008,180.5330749
AUS,20,2009,193.4916867
AUS,20,2010,.
AUS,20,2011,.
AUS,21t22,1995,100
AUS,21t22,1996,101.2117982
AUS,21t22,1997,102.3526949
AUS,21t22,1998,107.1570387
AUS,21t22,1999,110.1994562
AUS,21t22,2000,111.5599905
AUS,21t22,2001,114.9075524
AUS,21t22,2002,115.3382169
AUS,21t22,2003,116.4204501
AUS,21t22,2004,131.4163734
AUS,21t22,2005,130.3344806
AUS,21t22,2006,129.4807296
AUS,21t22,2007,127.7423698
AUS,21t22,2008,133.1302086
AUS,21t22,2009,159.7620356
AUS,21t22,2010,.
AUS,21t22,2011,.
AUS,23,1995,100
AUS,23,1996,112.7059153
AUS,23,1997,109.0586828
AUS,23,1998,92.03923032
AUS,23,1999,141.8369554
AUS,23,2000,192.6243902
AUS,23,2001,159.595032
AUS,23,2002,174.7776516
AUS,23,2003,177.964052
AUS,23,2004,232.3947281
AUS,23,2005,301.5590102
AUS,23,2006,310.8776836
AUS,23,2007,326.1214073
