iso_i,Code,year,real_k
AUS,AtB,1995,34707.83847
AUS,AtB,1996,38518.58695
AUS,AtB,1997,42528.47575
AUS,AtB,1998,46387.90095
AUS,AtB,1999,50136.67332
AUS,AtB,2000,53520.1032
AUS,AtB,2001,56565.63041
AUS,AtB,2002,59738.45883
AUS,AtB,2003,64062.11755
AUS,AtB,2004,69496.23738
AUS,AtB,2005,74749.50635
AUS,AtB,2006,78846.72795
AUS,AtB,2007,84162.55756
AUS,AtB,2008,89562.06637
AUS,AtB,2009,94953.77857
AUS,AtB,2010,.
AUS,AtB,2011,.
AUS,C,1995,118489.5113
AUS,C,1996,123918.0253
AUS,C,1997,131744.3163
AUS,C,1998,138228.585
AUS,C,1999,140377.615
AUS,C,2000,141153.5497
AUS,C,2001,143843.9359
AUS,C,2002,149532.7375
AUS,C,2003,156702.1166
AUS,C,2004,165031.6981
AUS,C,2005,181192.8247
AUS,C,2006,201079.3783
AUS,C,2007,227849.8191
AUS,C,2008,254576.0809
AUS,C,2009,280911.9168
AUS,C,2010,.
AUS,C,2011,.
AUS,15t16,1995,32865.1001
AUS,15t16,1996,33671.91647
AUS,15t16,1997,34795.76875
AUS,15t16,1998,35499.24655
AUS,15t16,1999,36254.23103
AUS,15t16,2000,37121.97677
AUS,15t16,2001,37720.06955
AUS,15t16,2002,39608.86428
AUS,15t16,2003,41859.99196
AUS,15t16,2004,45609.20172
AUS,15t16,2005,50585.40184
AUS,15t16,2006,55698.30286
AUS,15t16,2007,63196.6104
AUS,15t16,2008,70640.28286
AUS,15t16,2009,77931.57839
AUS,15t16,2010,.
AUS,15t16,2011,.
AUS,17t18,1995,5499.112419
AUS,17t18,1996,5636.906773
AUS,17t18,1997,5802.085891
AUS,17t18,1998,5707.492981
AUS,17t18,1999,5686.510003
AUS,17t18,2000,5640.314554
AUS,17t18,2001,5592.279299
AUS,17t18,2002,5702.0226
AUS,17t18,2003,5931.177175
AUS,17t18,2004,6130.12167
AUS,17t18,2005,6459.405421
AUS,17t18,2006,6817.331669
AUS,17t18,2007,7420.066827
AUS,17t18,2008,8022.980473
AUS,17t18,2009,8616.321988
AUS,17t18,2010,.
