year,iso_i,X_i_G,X_i_H,X_i_L
1995,AUS,290467.06,148443.11,313584.81
1996,AUS,318271.51,162466.1,348661.66
1997,AUS,316334.13,167146.53,349197.61
1998,AUS,282030.37,155328.54,314770.96
1999,AUS,300768.31,175655.76,338696.15
2000,AUS,279944.39,173493.17,327667.94
2001,AUS,266082.49,162256.99,307578.95
2002,AUS,296203.06,179286.74,343059.05
2003,AUS,377136.7,231641.83,435138.22
2004,AUS,475559.62,279083.94,519918.28
2005,AUS,534665.28,313144.75,565553.24
2006,AUS,576180.53,346193.76,589025.01
2007,AUS,684136.24,420673.67,716411.33
2008,AUS,757383.91,476170.2,783972.24
2009,AUS,754832.59,466606.63,747456.37
2010,AUS,951413.27,584915,918717.51
2011,AUS,1093939,686875.54,1063788.6
1995,BRA,555888.45,263956.49,441681.51
1996,BRA,586737.18,279256.55,500253.5
1997,BRA,604559.06,285340.22,530718.64
1998,BRA,569155.68,283921.56,527288.16
1999,BRA,406065.29,195569.54,368261.21
2000,BRA,483574.02,203059.23,409921.14
2001,BRA,417380.28,173028.27,357707.5
2002,BRA,398184.25,167817.05,331639.83
2003,BRA,458360.86,173454.39,346780.5
2004,BRA,568816.14,195100.55,411520.46
2005,BRA,735939.38,265055.96,561390.11
2006,BRA,871291.92,338819.24,684963.42
2007,BRA,1083707.3,431903.63,861709.93
2008,BRA,1354367.8,506146.93,1034414.8
2009,BRA,1193417.2,517800.43,1029936.6
2010,BRA,1562664.9,662293.79,1321851.2
2011,BRA,1719966,762043.22,1519062.3
1995,CHN,1392169.7,135907.13,360741.18
1996,CHN,1647730.4,163194.93,418440.78
1997,CHN,1797032.2,197824.86,485897.89
1998,CHN,1875119.1,217713.93,555083.14
1999,CHN,1959832.7,235997.26,618556.87
2000,CHN,2160460.6,262426.59,702349.53
2001,CHN,2357973.3,294078.55,802199.98
2002,CHN,2572142.3,321083.18,900921.9
2003,CHN,3067965.3,368553.93,1021101.8
2004,CHN,3710914.1,430943.96,1230905.5
2005,CHN,4545850.3,521936.06,1459703.4
2006,CHN,5810648.7,656064.94,1693461.7
2007,CHN,7645932.1,902601.67,2192381.2
2008,CHN,9909356.1,1180599.1,2823181.2
2009,CHN,10652435,1353624.7,3143905.7
2010,CHN,12744345,1570569.7,3755575.4
2011,CHN,15722441,1912302.2,4636282.8
1995,DEU,1843986.6,880049.09,1565679.4
