year,iso_i,betaKG_i,betaKH_i,betaKL_i
1995,AUS,0.52137694,0.24617733,0.54034593
1996,AUS,0.52251594,0.23865223,0.53031606
1997,AUS,0.53400822,0.24515765,0.54101987
1998,AUS,0.53106073,0.23154634,0.54334217
1999,AUS,0.54768541,0.25225757,0.53297091
2000,AUS,0.55391844,0.26274535,0.52658556
2001,AUS,0.56737264,0.27457631,0.53212826
2002,AUS,0.55258667,0.28527879,0.53980985
2003,AUS,0.56298953,0.28794389,0.54389227
2004,AUS,0.57284569,0.28565553,0.53406821
2005,AUS,0.58964269,0.27928207,0.52949088
2006,AUS,0.58257373,0.2958595,0.51634766
2007,AUS,0.56982529,0.29614906,0.52767067
2008,AUS,0.57084339,0.30124577,0.53001307
2009,AUS,0.59264599,0.29600427,0.52326274
2010,AUS,0.6174805,0.3099488,0.53146405
2011,AUS,0.60887345,0.30357823,0.52748975
1995,BRA,0.57948343,0.41090497,0.52367878
1996,BRA,0.55850113,0.40488253,0.55069546
1997,BRA,0.57410149,0.4168824,0.56678139
1998,BRA,0.56519638,0.40381773,0.5632459
1999,BRA,0.579717,0.39589712,0.56304668
2000,BRA,0.57271102,0.38339272,0.57611268
2001,BRA,0.57702191,0.39490818,0.55835135
2002,BRA,0.59855389,0.4135151,0.55943485
2003,BRA,0.60557745,0.41416622,0.56250947
2004,BRA,0.60092051,0.38330325,0.57005093
2005,BRA,0.56927752,0.42331548,0.55896135
2006,BRA,0.57113067,0.41749445,0.54338986
2007,BRA,0.56304146,0.41371734,0.54375049
2008,BRA,0.56282971,0.38304165,0.53414727
2009,BRA,0.53721975,0.38800036,0.52072134
2010,BRA,0.5633502,0.40037225,0.52802719
2011,BRA,0.55833215,0.40092978,0.52517746
1995,CHN,0.41265519,0.45841429,0.5558664
1996,CHN,0.41563316,0.45394459,0.55211251
1997,CHN,0.42297563,0.44395823,0.55050266
1998,CHN,0.43024978,0.44200188,0.55981152
1999,CHN,0.44289378,0.44529833,0.56646597
2000,CHN,0.45939581,0.4515418,0.57242851
2001,CHN,0.46972249,0.45755617,0.57897431
2002,CHN,0.48085946,0.46712765,0.58689348
2003,CHN,0.4912438,0.47088179,0.60812925
2004,CHN,0.49045145,0.47308881,0.63114886
2005,CHN,0.50500518,0.47633587,0.64997015
2006,CHN,0.52109558,0.49287112,0.66822754
2007,CHN,0.52834669,0.51749794,0.69452659
2008,CHN,0.52826889,0.51839882,0.69153334
2009,CHN,0.52704024,0.52461676,0.69520121
2010,CHN,0.57726765,0.54342471,0.72006113
2011,CHN,0.62194018,0.56786534,0.74268262
1995,DEU,0.26611948,0.41713627,0.49443371
1996,DEU,0.26005516,0.4226889,0.4989308
1997,DEU,0.27863543,0.42474869,0.5077234
1998,DEU,0.28575422,0.41286469,0.51401438
1999,DEU,0.28343904,0.41754742,0.5016492
2000,DEU,0.28564687,0.38416566,0.50474248
2001,DEU,0.28959383,0.38134747,0.51206439
2002,DEU,0.2906807,0.3882791,0.51592256
2003,DEU,0.29393397,0.39550114,0.51541386
2004,DEU,0.31746198,0.40174003,0.52472985
2005,DEU,0.33023362,0.41099291,0.53373674
2006,DEU,0.354401,0.41172012,0.54432016
2007,DEU,0.37656128,0.40635962,0.55017895
2008,DEU,0.35078332,0.3912144,0.5457213
2009,DEU,0.26972475,0.37095621,0.53410325
2010,DEU,0.35210078,0.36527921,0.53326642
2011,DEU,0.36818573,0.34250682,0.52930812
1995,IND,0.67552027,0.53909143,0.63835304
1996,IND,0.71427133,0.5690089,0.6566585
1997,IND,0.69079421,0.56393843,0.63565394
1998,IND,0.70440336,0.56642429,0.62927204
1999,IND,0.70797702,0.59376793,0.6354379
2000,IND,0.7052064,0.59283335,0.65148544
2001,IND,0.70272802,0.61728011,0.65339009
2002,IND,0.70154003,0.63434817,0.66221637
2003,IND,0.70721302,0.63516434,0.66689468
2004,IND,0.70780209,0.63798022,0.67194257
2005,IND,0.70693664,0.639408,0.68056773
2006,IND,0.71175487,0.65402178,0.68054059
2007,IND,0.71583757,0.66827843,0.68695878
2008,IND,0.70934572,0.6816401,0.69481989
2009,IND,0.69685164,0.67716964,0.69458766
2010,IND,0.70208838,0.69216214,0.70093502
2011,IND,0.70199227,0.70908207,0.71447061
1995,JPN,0.45441814,0.33599531,0.54822329
1996,JPN,0.46511273,0.36004599,0.55789357
1997,JPN,0.46256111,0.35995843,0.56329958
1998,JPN,0.46121243,0.35092161,0.5640111
1999,JPN,0.45997334,0.35737804,0.57267842
2000,JPN,0.45907607,0.37264361,0.56448265
2001,JPN,0.44368612,0.37454496,0.56641502
2002,JPN,0.4500466,0.38253802,0.57420043
2003,JPN,0.46464713,0.38511703,0.5754408
2004,JPN,0.47872824,0.38702737,0.56489115
2005,JPN,0.48765481,0.3914076,0.56309691
2006,JPN,0.48619444,0.37826461,0.55179929
2007,JPN,0.48862988,0.37642252,0.55087506
2008,JPN,0.47560882,0.37167613,0.55641208
2009,JPN,0.47464812,0.37094465,0.56532592
2010,JPN,0.58849818,0.40616399,0.59631905
2011,JPN,0.65475781,0.44219246,0.62394093
1995,MEX,0.7284971,0.50326168,0.71963459
1996,MEX,0.75043003,0.45835873,0.74452705
1997,MEX,0.7383012,0.40590268,0.74252038
1998,MEX,0.72579847,0.42123784,0.73523728
1999,MEX,0.71823845,0.44100461,0.72629494
2000,MEX,0.70667271,0.43883887,0.72457271
2001,MEX,0.69344605,0.43817748,0.71070577
2002,MEX,0.6981952,0.48248835,0.70609999
2003,MEX,0.70662596,0.49798399,0.7084724
2004,MEX,0.73316004,0.51647794,0.72141268
2005,MEX,0.73419672,0.53165889,0.72130889
2006,MEX,0.75637906,0.53283899,0.72625806
2007,MEX,0.76604513,0.53732342,0.72835469
2008,MEX,0.7801791,0.53712599,0.72928074
2009,MEX,0.77092685,0.53359119,0.722041
2010,MEX,0.80946894,0.54003301,0.74905263
2011,MEX,0.84722048,0.5524909,0.7668309
1995,RoW,0.50620845,0.413273,0.56308895
1996,RoW,0.51411903,0.41291285,0.57203547
1997,RoW,0.51599437,0.40728222,0.57408393
1998,RoW,0.51522869,0.4020402,0.57357095
1999,RoW,0.51862989,0.4100925,0.57366431
2000,RoW,0.51888078,0.4061384,0.57536829
2001,RoW,0.51854699,0.41279785,0.57405832
2002,RoW,0.52219502,0.4292735,0.57821463
2003,RoW,0.53053427,0.43347127,0.58262299
2004,RoW,0.54335328,0.43317248,0.58769429
2005,RoW,0.5472535,0.44231365,0.59018368
2006,RoW,0.55345205,0.44741339,0.58963614
2007,RoW,0.55769662,0.45091823,0.59513512
2008,RoW,0.55338718,0.44792119,0.59396884
2009,RoW,0.54161563,0.44345879,0.59252465
2010,RoW,0.59510064,0.45656322,0.60874354
2011,RoW,0.62578092,0.46463854,0.62138191
1995,USA,0.41159705,0.39520272,0.48417584
1996,USA,0.42643273,0.39572094,0.48514982
1997,USA,0.42657771,0.39771124,0.48517019
1998,USA,0.41815418,0.38750724,0.47963318
1999,USA,0.40911508,0.37758902,0.49077047
2000,USA,0.40841889,0.36294583,0.4825363
2001,USA,0.40480485,0.36399213,0.48043735
2002,USA,0.40509763,0.38061282,0.48113953
2003,USA,0.41204329,0.3810118,0.48023119
2004,USA,0.4454562,0.3801067,0.48331007
2005,USA,0.45508079,0.38610836,0.48433679
2006,USA,0.44408704,0.39623656,0.48620597
2007,USA,0.45328563,0.39159749,0.47876571
2008,USA,0.44923848,0.39902668,0.46982305
2009,USA,0.46386774,0.38638721,0.48495408
2010,USA,0.55055052,0.39512164,0.5108228
2011,USA,0.64494526,0.39846269,0.54115486
