year,row_sector,bt_all,exporter_num,importer_num,sector
1995,G,233921.09,1,1,1
1995,L,302961.27,1,1,2
1995,H,141687.33,1,1,3
1996,G,254864.93,1,1,1
1996,L,336591.73,1,1,2
1996,H,154798.90,1,1,3
1997,G,250389.45,1,1,1
1997,L,336887.49,1,1,2
1997,H,159743.66,1,1,3
1998,G,227608.41,1,1,1
1998,L,303910.34,1,1,2
1998,H,149064.70,1,1,3
1999,G,239664.31,1,1,1
1999,L,324858.62,1,1,2
1999,H,167939.56,1,1,3
2000,G,211749.71,1,1,1
2000,L,313338.06,1,1,2
2000,H,165743.98,1,1,3
2001,G,204155.96,1,1,1
2001,L,295404.14,1,1,2
2001,H,156013.62,1,1,3
2002,G,233577.82,1,1,1
2002,L,329879.38,1,1,2
2002,H,172660.78,1,1,3
2003,G,307811.19,1,1,1
2003,L,417615.04,1,1,2
2003,H,222917.62,1,1,3
2004,G,384060.75,1,1,1
2004,L,498469.61,1,1,2
2004,H,269277.20,1,1,3
2005,G,419992.72,1,1,1
2005,L,541754.79,1,1,2
2005,H,302272.55,1,1,3
2006,G,449075.09,1,1,1
2006,L,565170.88,1,1,2
2006,H,335238.84,1,1,3
2007,G,533101.34,1,1,1
2007,L,686134.13,1,1,2
2007,H,406626.57,1,1,3
2008,G,563340.62,1,1,1
2008,L,750390.07,1,1,2
2008,H,460553.49,1,1,3
2009,G,597816.68,1,1,1
2009,L,717787.22,1,1,2
2009,H,452595.21,1,1,3
2010,G,728796.92,1,1,1
2010,L,883896.14,1,1,2
2010,H,568619.43,1,1,3
2011,G,827489.20,1,1,1
2011,L,1022773.10,1,1,2
2011,H,667522.63,1,1,3
1995,G,322.99,2,1,1
1995,L,0.18,2,1,2
1995,H,0.01,2,1,3
1996,G,301.07,2,1,1
1996,L,0.16,2,1,2
1996,H,0.01,2,1,3
1997,G,302.58,2,1,1
1997,L,0.14,2,1,2
1997,H,0.01,2,1,3
1998,G,212.53,2,1,1
1998,L,0.12,2,1,2
1998,H,0.01,2,1,3
1999,G,240.75,2,1,1
1999,L,0.18,2,1,2
1999,H,0.01,2,1,3
2000,G,366.83,2,1,1
2000,L,0.17,2,1,2
2000,H,0.01,2,1,3
2001,G,267.00,2,1,1
2001,L,0.13,2,1,2
2001,H,0.01,2,1,3
2002,G,265.25,2,1,1
2002,L,0.15,2,1,2
2002,H,0.01,2,1,3
2003,G,291.16,2,1,1
2003,L,0.18,2,1,2
2003,H,0.01,2,1,3
2004,G,381.11,2,1,1
2004,L,0.19,2,1,2
2004,H,0.01,2,1,3
2005,G,537.25,2,1,1
2005,L,0.25,2,1,2
2005,H,0.01,2,1,3
2006,G,620.31,2,1,1
2006,L,0.25,2,1,2
2006,H,0.01,2,1,3
2007,G,747.36,2,1,1
2007,L,0.27,2,1,2
2007,H,0.01,2,1,3
2008,G,1083.86,2,1,1
2008,L,0.28,2,1,2
2008,H,0.02,2,1,3
2009,G,604.91,2,1,1
2009,L,0.19,2,1,2
2009,H,0.01,2,1,3
2010,G,1486.94,2,1,1
2010,L,0.28,2,1,2
2010,H,0.01,2,1,3
2011,G,2505.66,2,1,1
2011,L,0.48,2,1,2
2011,H,0.02,2,1,3
1995,G,3087.49,3,1,1
1995,L,1061.42,3,1,2
1995,H,206.36,3,1,3
1996,G,3191.88,3,1,1
1996,L,1313.42,3,1,2
1996,H,199.69,3,1,3
1997,G,3884.07,3,1,1
1997,L,1350.64,3,1,2
1997,H,227.65,3,1,3
1998,G,3794.61,3,1,1
1998,L,1211.57,3,1,2
1998,H,233.30,3,1,3
1999,G,4207.83,3,1,1
1999,L,1470.58,3,1,2
1999,H,247.46,3,1,3
2000,G,4602.48,3,1,1
2000,L,1194.44,3,1,2
2000,H,208.40,3,1,3
2001,G,4533.53,3,1,1
2001,L,1112.87,3,1,2
2001,H,276.79,3,1,3
2002,G,5784.06,3,1,1
2002,L,1462.20,3,1,2
2002,H,188.45,3,1,3
2003,G,7579.22,3,1,1
2003,L,2282.74,3,1,2
2003,H,430.09,3,1,3
2004,G,11387.69,3,1,1
2004,L,3476.50,3,1,2
2004,H,780.60,3,1,3
2005,G,14463.29,3,1,1
2005,L,4352.86,3,1,2
2005,H,861.47,3,1,3
2006,G,17233.09,3,1,1
2006,L,3828.62,3,1,2
2006,H,811.20,3,1,3
2007,G,22388.23,3,1,1
2007,L,5996.21,3,1,2
2007,H,1296.22,3,1,3
2008,G,25718.05,3,1,1
2008,L,9039.66,3,1,2
2008,H,1709.27,3,1,3
2009,G,25143.26,3,1,1
2009,L,11398.00,3,1,2
2009,H,1624.11,3,1,3
2010,G,32499.58,3,1,1
2010,L,15501.42,3,1,2
2010,H,2671.56,3,1,3
2011,G,44106.36,3,1,1
2011,L,20817.96,3,1,2
2011,H,3778.08,3,1,3
1995,G,4165.29,4,1,1
1995,L,797.69,4,1,2
1995,H,357.42,4,1,3
1996,G,4044.24,4,1,1
1996,L,838.59,4,1,2
1996,H,285.71,4,1,3
1997,G,4344.34,4,1,1
1997,L,674.63,4,1,2
1997,H,318.28,4,1,3
1998,G,4196.79,4,1,1
1998,L,685.15,4,1,2
1998,H,224.96,4,1,3
1999,G,4469.19,4,1,1
1999,L,774.12,4,1,2
1999,H,225.94,4,1,3
2000,G,3819.47,4,1,1
2000,L,724.45,4,1,2
2000,H,175.32,4,1,3
2001,G,3821.47,4,1,1
2001,L,759.77,4,1,2
2001,H,155.41,4,1,3
2002,G,4431.78,4,1,1
2002,L,949.79,4,1,2
2002,H,150.84,4,1,3
2003,G,5762.91,4,1,1
2003,L,1033.73,4,1,2
2003,H,202.65,4,1,3
2004,G,6892.57,4,1,1
2004,L,795.35,4,1,2
2004,H,271.53,4,1,3
2005,G,7467.12,4,1,1
2005,L,792.28,4,1,2
2005,H,269.63,4,1,3
2006,G,7479.54,4,1,1
2006,L,694.20,4,1,2
2006,H,184.34,4,1,3
2007,G,9061.86,4,1,1
2007,L,1078.33,4,1,2
2007,H,357.22,4,1,3
2008,G,10009.70,4,1,1
2008,L,1043.76,4,1,2
2008,H,844.47,4,1,3
2009,G,8952.21,4,1,1
2009,L,887.83,4,1,2
2009,H,665.49,4,1,3
2010,G,9990.45,4,1,1
2010,L,1049.89,4,1,2
2010,H,569.17,4,1,3
2011,G,11916.11,4,1,1
2011,L,1224.48,4,1,2
2011,H,692.34,4,1,3
1995,G,556.52,5,1,1
1995,L,83.53,5,1,2
1995,H,6.18,5,1,3
1996,G,619.07,5,1,1
1996,L,124.94,5,1,2
1996,H,6.79,5,1,3
1997,G,731.85,5,1,1
1997,L,94.15,5,1,2
1997,H,9.20,5,1,3
1998,G,671.78,5,1,1
1998,L,120.70,5,1,2
1998,H,10.03,5,1,3
1999,G,762.92,5,1,1
1999,L,198.61,5,1,2
1999,H,16.80,5,1,3
2000,G,756.86,5,1,1
2000,L,97.00,5,1,2
2000,H,36.31,5,1,3
2001,G,642.61,5,1,1
2001,L,82.79,5,1,2
2001,H,68.07,5,1,3
2002,G,734.00,5,1,1
2002,L,123.76,5,1,2
2002,H,42.63,5,1,3
2003,G,708.97,5,1,1
2003,L,142.84,5,1,2
2003,H,93.68,5,1,3
2004,G,1062.73,5,1,1
2004,L,184.82,5,1,2
2004,H,422.08,5,1,3
2005,G,1328.71,5,1,1
2005,L,293.07,5,1,2
2005,H,228.75,5,1,3
2006,G,1519.39,5,1,1
2006,L,665.23,5,1,2
2006,H,671.54,5,1,3
2007,G,1830.73,5,1,1
2007,L,839.15,5,1,2
2007,H,982.47,5,1,3
2008,G,2041.95,5,1,1
2008,L,2160.08,5,1,2
2008,H,406.46,5,1,3
2009,G,3101.60,5,1,1
2009,L,1689.85,5,1,2
2009,H,155.93,5,1,3
2010,G,3284.03,5,1,1
2010,L,3000.80,5,1,2
2010,H,179.24,5,1,3
2011,G,4034.95,5,1,1
2011,L,3412.50,5,1,2
2011,H,205.95,5,1,3
1995,G,7235.89,6,1,1
1995,L,1140.35,6,1,2
1995,H,62.85,6,1,3
1996,G,6866.28,6,1,1
1996,L,950.92,6,1,2
1996,H,102.98,6,1,3
1997,G,8308.04,6,1,1
1997,L,1188.36,6,1,2
1997,H,82.42,6,1,3
1998,G,8166.25,6,1,1
1998,L,1023.85,6,1,2
1998,H,18.96,6,1,3
1999,G,8960.08,6,1,1
1999,L,990.77,6,1,2
1999,H,16.03,6,1,3
2000,G,8556.72,6,1,1
