year,iso_i,er_i
1995,AUS,0.741497
1996,AUS,0.782946
1997,AUS,0.744063
1998,AUS,0.629401
1999,AUS,0.645333
2000,AUS,0.582346
2001,AUS,0.517636
2002,AUS,0.543903
2003,AUS,0.651884
2004,AUS,0.736579
2005,AUS,0.763844
2006,AUS,0.75335
2007,AUS,0.838561
2008,AUS,0.855265
2009,AUS,0.791304
2010,AUS,0.919499
2011,AUS,1.03221
1995,BRA,1.09202
1996,BRA,0.995325
1997,BRA,0.928042
1998,BRA,0.862287
1999,BRA,0.554318
2000,BRA,0.547301
2001,BRA,0.428403
2002,BRA,0.353546
2003,BRA,0.326987
2004,BRA,0.342416
2005,BRA,0.412599
2006,BRA,0.459701
2007,BRA,0.513595
2008,BRA,0.545326
2009,BRA,0.500143
2010,BRA,0.568432
2011,BRA,0.59779
1995,CHN,0.119746
1996,CHN,0.120277
1997,CHN,0.120628
1998,CHN,0.120788
1999,CHN,0.120798
2000,CHN,0.120794
2001,CHN,0.120818
2002,CHN,0.120816
2003,CHN,0.120817
2004,CHN,0.120818
2005,CHN,0.12205
2006,CHN,0.125428
2007,CHN,0.131487
2008,CHN,0.14397
2009,CHN,0.146383
2010,CHN,0.14772
2011,CHN,0.154796
1995,DEU,1.3662646
1996,DEU,1.3002358
1997,DEU,1.1294547
1998,DEU,1.1130765
1999,DEU,1.0658
2000,DEU,0.9236
2001,DEU,0.8956
2002,DEU,0.9456
2003,DEU,1.1312
2004,DEU,1.2439
2005,DEU,1.2441
2006,DEU,1.2556
2007,DEU,1.3705
2008,DEU,1.4708
2009,DEU,1.3948
2010,DEU,1.3257
2011,DEU,1.392
1995,IND,0.0308993
1996,IND,0.0282328
1997,IND,0.0275574
1998,IND,0.0242704
1999,IND,0.0232269
2000,IND,0.0222683
2001,IND,0.0211945
2002,IND,0.020565
2003,IND,0.0214755
2004,IND,0.0220727
2005,IND,0.0226828
2006,IND,0.0220782
2007,IND,0.0242284
2008,IND,0.0231271
2009,IND,0.0206745
2010,IND,0.0218759
2011,IND,0.0214931
1995,JPN,0.0106963
1996,JPN,0.00919903
1997,JPN,0.0082772
1998,JPN,0.00767368
1999,JPN,0.00877599
2000,JPN,0.00928167
2001,JPN,0.00823583
2002,JPN,0.00798917
2003,JPN,0.00864083
2004,JPN,0.00924833
2005,JPN,0.00909083
2006,JPN,0.00860077
2007,JPN,0.00850007
2008,JPN,0.0096998
2009,JPN,0.0107004
2010,JPN,0.0114147
2011,JPN,0.0125413
1995,MEX,0.157266
1996,MEX,0.131637
1997,MEX,0.126329
1998,MEX,0.110101
1999,MEX,0.104708
2000,MEX,0.105786
2001,MEX,0.107099
2002,MEX,0.103766
2003,MEX,0.092758
2004,MEX,0.0886325
2005,MEX,0.0917957
2006,MEX,0.09179
2007,MEX,0.0915144
2008,MEX,0.0906501
2009,MEX,0.0741195
2010,MEX,0.0791632
2011,MEX,0.0807881
1995,RoW,1.5310668
1996,RoW,1.2748571
1997,RoW,1.0610188
1998,RoW,1.03131
1999,RoW,0.94944726
2000,RoW,0.81498833
2001,RoW,0.76365144
2002,RoW,0.79001959
2003,RoW,0.91540059
2004,RoW,1.0063887
2005,RoW,0.98861513
2006,RoW,0.98013483
2007,RoW,1.0574324
2008,RoW,1.0669713
2009,RoW,0.99212337
2010,RoW,0.91636396
2011,RoW,0.93744908
1995,USA,1
1996,USA,1
1997,USA,1
1998,USA,1
1999,USA,1
2000,USA,1
2001,USA,1
2002,USA,1
2003,USA,1
2004,USA,1
2005,USA,1
2006,USA,1
2007,USA,1
2008,USA,1
2009,USA,1
2010,USA,1
2011,USA,1
