year,iso_j,iso_i,X_ij_G,X_ij_H,X_ij_L,Y_G_i,Y_H_i,Y_L_i,Y_G_j,Y_H_j,Y_L_j,X_ji_G,X_ji_H,X_ji_L,gdp_lcu_i,gdp_lcu_j,rgrowth_i,rgrowth_j,employmentH_i,employmentL_i,NH_hat_i,NL_hat_i,employmentH_j,employmentL_j,NH_hat_j,NL_hat_j,pair,alpha_rank,country_i,er_i,country_j,er_j,ppi_G_i,ppi_H_i,ppi_L_i,ppi_G_j,ppi_H_j,ppi_L_j,M_i_G,M_i_H,M_i_L,M_j_G,M_j_H,M_j_L,X_i_G,X_i_H,X_i_L,X_j_G,X_j_H,X_j_L,Y_G_usd_i,Y_H_usd_i,Y_L_usd_i,Y_G_usd_j,Y_H_usd_j,Y_L_usd_j,X_ii_G,X_ii_H,X_ii_L,X_jj_G,X_jj_H,X_jj_L,worldppi,gdp_usd_world,va_usd_i,va_usd_j,va_usd_world,gdp_usd_i,gdp_usd_j,hr_G,ln_hr_G,hr_H,ln_hr_H,hr_L,ln_hr_L,betaNHG_i,betaNLG_i,betaNHH_i,betaNLH_i,betaNHL_i,betaNLL_i,betaKG_i,betaKH_i,betaKL_i,betaIGG_i,betaIGH_i,betaIGL_i,betaIHG_i,betaIHH_i,betaIHL_i,betaILG_i,betaILH_i,betaILL_i,betaNHG_j,betaNLG_j,betaNHH_j,betaNLH_j,betaNHL_j,betaNLL_j,betaKG_j,betaKH_j,betaKL_j,betaIGG_j,betaIGH_j,betaIGL_j,betaIHG_j,betaIHH_j,betaIHL_j,betaILG_j,betaILH_j,betaILL_j,io_year_i,io_year_j,date,betaNHG_world,betaNHH_world,betaNHL_world,betaNLG_world,betaNLH_world,betaNLL_world,betaKG_world,betaKH_world,betaKL_world,betaIGG_world,betaIGH_world,betaIGL_world,betaIHG_world,betaIHH_world,betaIHL_world,betaILG_world,betaILH_world,betaILL_world,C_G_j,I_G_j,C_H_j,I_H_j,C_L_j,I_L_j,code_i,code_j
1995,AUS,AUS,0,0,0,391730.6,200193.81,422907.73,391730.6,200193.81,422907.73,0,0,0,1014832.1,1014832.1,0,0,3907204.2,4381615.8,1,1,3907204.2,4381615.8,1,1,AUSAUS,3,australia,0.741497,australia,0.741497,100,100,100,100,100,100,52252.446,5456.6487,12780.04,52252.446,5456.6487,12780.04,56545.975,6755.7797,10623.548,56545.975,6755.7797,10623.548,290467.06,148443.11,313584.81,290467.06,148443.11,313584.81,233921.09,141687.33,302961.26,233921.09,141687.33,302961.26,100,55182309,352145.03,352145.03,28492990,752494.98,752494.98,0,0,0,0,0,0,0.08038988,0.0901508,0.21189472,0.23762292,0.11064116,0.12407518,0.18577453,0.14679985,0.27592057,0.25234238,0.04721107,0.15602027,0.03534949,0.13162215,0.12453076,0.08648835,0.08589378,0.17419226,0.08038988,0.0901508,0.21189472,0.23762292,0.11064116,0.12407518,0.18577453,0.14679985,0.27592057,0.25234238,0.04721107,0.15602027,0.03534949,0.13162215,0.12453076,0.08648835,0.08589378,0.17419226,1995,1995,140,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,66113.103,77556.859,61627.273,4347.5971,146559.6,9466.2463,1,1
1996,AUS,AUS,0,0,0,406505.07,207506.14,445320.18,406505.07,207506.14,445320.18,0,0,0,1059331.4,1059331.4,0.10219907,0.10219907,4005243.1,4349306.9,1.0250918,0.99262626,4005243.1,4349306.9,1.0250918,0.99262626,AUSAUS,3,australia,0.782946,australia,0.782946,101.21665,102.02345,100.6154,101.21665,102.02345,100.6154,56507.783,6075.7261,13647.668,56507.783,6075.7261,13647.668,63406.58,7667.2029,12069.924,63406.58,7667.2029,12069.924,318271.52,162466.1,348661.66,318271.52,162466.1,348661.66,254864.94,154798.9,336591.73,254864.94,154798.9,336591.73,108.05823,56556389,391906.4,391906.4,29146973,829399.27,829399.27,0,0,0,0,0,0,0.08052785,0.08744546,0.2233364,0.24252174,0.1165897,0.12660515,0.183815,0.14602799,0.2745892,0.26424472,0.05113071,0.16870061,0.03532273,0.1325656,0.12799731,0.0876925,0.08921314,0.18379091,0.08052785,0.08744546,0.2233364,0.24252174,0.1165897,0.12660515,0.183815,0.14602799,0.2745892,0.26424472,0.05113071,0.16870061,0.03532273,0.1325656,0.12799731,0.0876925,0.08921314,0.18379091,1996,1996,141,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,71638.162,85936.812,67815.161,5037.9832,162276.67,10979.051,1,1
1997,AUS,AUS,0,0,0,425144.28,224640.29,469311.89,425144.28,224640.29,469311.89,0,0,0,1119096.5,1119096.5,0.00395345,0.00395345,4134596.7,4342378.3,1.0322961,0.99840695,4134596.7,4342378.3,1.0322961,0.99840695,AUSAUS,3,australia,0.744063,australia,0.744063,100.99125,102.93733,102.35172,100.99125,102.93733,102.35172,60522.116,6879.9382,15312.582,60522.116,6879.9382,15312.582,65944.671,7402.8733,12310.126,65944.671,7402.8733,12310.126,316334.13,167146.53,349197.61,316334.13,167146.53,349197.61,250389.46,159743.66,336887.48,250389.46,159743.66,336887.48,144.82972,56598550,394570.54,394570.54,29078015,832678.26,832678.26,0,0,0,0,0,0,0.08067766,0.08473207,0.22382085,0.23506883,0.11582506,0.12164578,0.18955303,0.14903816,0.27991722,0.26172303,0.05100591,0.14703805,0.03334475,0.13157943,0.11873117,0.0836036,0.08463121,0.17500052,0.08067766,0.08473207,0.22382085,0.23506883,0.11582506,0.12164578,0.18955303,0.14903816,0.27991722,0.26172303,0.05100591,0.14703805,0.03334475,0.13157943,0.11873117,0.0836036,0.08463121,0.17500052,1997,1997,142,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,69456.315,83458.471,68885.635,6776.6155,165371,15515.057,1,1
1998,AUS,AUS,0,0,0,448093.3,246787.89,500111.94,448093.3,246787.89,500111.94,0,0,0,1194993.1,1194993.1,-0.09673411,-0.09673411,4289980.5,4351634.5,1.0375814,1.0021316,4289980.5,4351634.5,1.0375814,1.0021316,AUSAUS,3,australia,0.629401,australia,0.629401,101.08283,104.86378,103.06195,101.08283,104.86378,103.06195,55993.49,5971.6418,12859.444,55993.49,5971.6418,12859.444,54421.96,6263.8454,10860.614,54421.96,6263.8454,10860.614,282030.37,155328.54,314770.96,282030.37,155328.54,314770.96,227608.41,149064.7,303910.34,227608.41,149064.7,303910.34,164.85696,56060688,351456.97,351456.97,28868950,752129.87,752129.87,0,0,0,0,0,0,0.08102798,0.08219249,0.22671853,0.22997685,0.11593885,0.11760509,0.18484266,0.137609,0.27787605,0.22777653,0.04653098,0.12026629,0.02880749,0.11906913,0.10011058,0.07401979,0.07306736,0.14735606,0.08102798,0.08219249,0.22671853,0.22997685,0.11593885,0.11760509,0.18484266,0.137609,0.27787605,0.22777653,0.04653098,0.12026629,0.02880749,0.11906913,0.10011058,0.07401979,0.07306736,0.14735606,1998,1998,143,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,62128.016,75281.227,61928.013,6331.4274,149147.35,15331.308,1,1
1999,AUS,AUS,0,0,0,466066.84,272193.97,524839.34,466066.84,272193.97,524839.34,0,0,0,1263100.2,1263100.2,0.08374928,0.08374928,4465550.8,4367989.2,1.0409257,1.0037583,4465550.8,4367989.2,1.0409257,1.0037583,AUSAUS,3,australia,0.645333,australia,0.645333,104.24433,107.41229,103.15044,104.24433,107.41229,103.15044,64216.035,6712.4228,14441.16,64216.035,6712.4228,14441.16,61104.007,7716.1967,13837.527,61104.007,7716.1967,13837.527,300768.31,175655.75,338696.14,300768.31,175655.75,338696.14,239664.3,167939.56,324858.62,239664.3,167939.56,324858.62,177.25682,58306396,382442.57,382442.57,29949424,815120.21,815120.21,0,0,0,0,0,0,0.08121254,0.07943824,0.2213636,0.21652734,0.12041828,0.11778743,0.1945241,0.14772641,0.27183898,0.23240897,0.0502904,0.11811701,0.0299221,0.12987599,0.09976464,0.07809109,0.07625033,0.1480963,0.08121254,0.07943824,0.2213636,0.21652734,0.12041828,0.11778743,0.1945241,0.14772641,0.27183898,0.23240897,0.0502904,0.11811701,0.0299221,0.12987599,0.09976464,0.07809109,0.07625033,0.1480963,1999,1999,144,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,65879.308,80553.025,68249.943,7592.7147,160592.02,18775.24,1,1
2000,AUS,AUS,0,0,0,480718.31,297921.11,562668.82,480718.31,297921.11,562668.82,0,0,0,1341308.2,1341308.2,-0.04172969,-0.04172969,4641877.8,4370284.6,1.0394861,1.0005255,4641877.8,4370284.6,1.0394861,1.0005255,AUSAUS,3,australia,0.582346,australia,0.582346,108.92248,112.7766,106.94532,108.92248,112.7766,106.94532,63614.05,6438.7831,13518.961,63614.05,6438.7831,13518.961,68194.68,7749.1899,14329.875,68194.68,7749.1899,14329.875,279944.39,173493.17,327667.94,279944.39,173493.17,327667.94,211749.71,165743.98,313338.06,211749.71,165743.98,313338.06,191.70362,60817362,365788.02,365788.02,30886319,781105.49,781105.49,0,0,0,0,0,0,0.0826617,0.07782522,0.22543118,0.21224135,0.12061347,0.11355645,0.19928343,0.15597924,0.2604705,0.20432492,0.04751152,0.10613419,0.02601253,0.11806612,0.08504595,0.07269643,0.07241112,0.13535589,0.0826617,0.07782522,0.22543118,0.21224135,0.12061347,0.11355645,0.19928343,0.15597924,0.2604705,0.20432492,0.04751152,0.10613419,0.02601253,0.11806612,0.08504595,0.07269643,0.07241112,0.13535589,2000,2000,145,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,63121.779,65365.548,66286.524,7138.7133,156081.22,18257.63,1,1
2001,AUS,AUS,0,0,0,514033.96,313457.7,594199.3,514033.96,313457.7,594199.3,0,0,0,1421691,1421691,-0.05785015,-0.05785015,4794243.7,4335317.2,1.0328242,0.99199882,4794243.7,4335317.2,1.0328242,0.99199882,AUSAUS,3,australia,0.517636,australia,0.517636,109.99627,115.29449,108.58283,109.99627,115.29449,108.58283,57806.17,5631.6906,11727.168,57806.17,5631.6906,11727.168,61926.529,6243.3656,12174.807,61926.529,6243.3656,12174.807,266082.49,162256.99,307578.95,266082.49,162256.99,307578.95,204155.96,156013.62,295404.14,204155.96,156013.62,295404.14,213.56081,60202726,347752.11,347752.11,30695233,735918.42,735918.42,0,0,0,0,0,0,0.08223526,0.07436334,0.22806526,0.20623383,0.12325342,0.11145505,0.2053725,0.16438427,0.26694283,0.18342085,0.04248738,0.09228096,0.02262239,0.10473032,0.07371522,0.06406713,0.06271323,0.11943662,0.08223526,0.07436334,0.22806526,0.20623383,0.12325342,0.11145505,0.2053725,0.16438427,0.26694283,0.18342085,0.04248738,0.09228096,0.02262239,0.10473032,0.07371522,0.06406713,0.06271323,0.11943662,2001,2001,146,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,58058.358,64459.414,62949.815,6762.8614,147031.54,18588.468,1,1
2002,AUS,AUS,0,0,0,544588.02,329629.99,630735.73,544588.02,329629.99,630735.73,0,0,0,1504953.7,1504953.7,0.11228205,0.11228205,4953892.5,4413010.4,1.0333001,1.017921,4953892.5,4413010.4,1.0333001,1.017921,AUSAUS,3,australia,0.543903,australia,0.543903,114.20754,120.6329,110.02908,114.20754,120.6329,110.02908,66931.357,6204.2247,12590.112,66931.357,6204.2247,12590.112,62625.234,6625.962,13179.677,62625.234,6625.962,13179.677,296203.06,179286.74,343059.05,296203.06,179286.74,343059.05,233577.82,172660.78,329879.38,233577.82,172660.78,329879.38,234.20142,62263779,386739.56,386739.56,31978701,818548.85,818548.85,0,0,0,0,0,0,0.08348903,0.07437342,0.22863334,0.20367041,0.12329198,0.10983056,0.19497114,0.17255273,0.27345619,0.19756553,0.0456801,0.09605739,0.02495064,0.1060933,0.07651994,0.06900552,0.06378551,0.12289789,0.08348903,0.07437342,0.22863334,0.20367041,0.12329198,0.10983056,0.19497114,0.17255273,0.27345619,0.19756553,0.0456801,0.09605739,0.02495064,0.1060933,0.07651994,0.06900552,0.06378551,0.12289789,2002,2002,147,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,63540.691,77627.945,71129.586,7655.2458,165508.03,21910.393,1,1
2003,AUS,AUS,0,0,0,578533.46,355342.11,667508.67,578533.46,355342.11,667508.67,0,0,0,1601384.2,1601384.2,0.27532615,0.27532615,5058786.7,4460043.7,1.0211741,1.0106579,5058786.7,4460043.7,1.0211741,1.0106579,AUSAUS,3,australia,0.651884,australia,0.651884,116.97049,125.72448,112.24576,116.97049,125.72448,112.24576,80026.152,7966.4044,15245.891,80026.152,7966.4044,15245.891,69325.518,8724.2119,17523.181,69325.518,8724.2119,17523.181,377136.71,231641.83,435138.22,377136.71,231641.83,435138.22,307811.19,222917.62,417615.04,307811.19,222917.62,417615.04,258.54699,70209292,498551.98,498551.98,35758543,1043916.8,1043916.8,0,0,0,0,0,0,0.08294006,0.07312352,0.22986233,0.20265651,0.12431706,0.10960326,0.20105275,0.17490358,0.27894168,0.23716086,0.05703348,0.11038369,0.02854874,0.12880055,0.0899286,0.08205797,0.075526,0.14515999,0.08294006,0.07312352,0.22986233,0.20265651,0.12431706,0.10960326,0.20105275,0.17490358,0.27894168,0.23716086,0.05703348,0.11038369,0.02854874,0.12880055,0.0899286,0.08205797,0.075526,0.14515999,2003,2003,148,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,80038.548,105674.32,91701.899,10003.835,210978.09,29171.21,1,1
2004,AUS,AUS,0,0,0,645632.88,378892.07,705855.43,645632.88,378892.07,705855.43,0,0,0,1730380.4,1730380.4,0.22094203,0.22094203,5310262,4463483.4,1.0497106,1.0007712,5310262,4463483.4,1.0497106,1.0007712,AUSAUS,3,australia,0.736579,australia,0.736579,129.60735,131.95147,115.63508,129.60735,131.95147,115.63508,102255.33,8857.7763,20482.481,102255.33,8857.7763,20482.481,91498.877,9806.7378,21448.678,91498.877,9806.7378,21448.678,475559.62,279083.94,519918.29,475559.62,279083.94,519918.29,384060.74,269277.2,498469.61,384060.74,269277.2,498469.61,282.05166,79623724,604453.03,604453.03,40119767,1274561.9,1274561.9,0,0,0,0,0,0,0.08145836,0.06846895,0.23731751,0.19947467,0.12994828,0.10922663,0.20106367,0.17466657,0.2741511,0.27729244,0.06289007,0.12211187,0.03235822,0.14297746,0.10185818,0.09467473,0.08377677,0.16422106,0.08145836,0.06846895,0.23731751,0.19947467,0.12994828,0.10922663,0.20106367,0.17466657,0.2741511,0.27729244,0.06289007,0.12211187,0.03235822,0.14297746,0.10185818,0.09467473,0.08377677,0.16422106,2004,2004,149,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,96405.609,131794.4,112493.16,11730.606,251592.49,34010.568,1,1
