year,iso,p_G,p_L,p_H
1995,AUS,0.59960532,0.8237461,0.73616209
1996,AUS,0.6029395,0.83482537,0.7502723
1997,AUS,0.61517682,0.8441303,0.75411462
1998,AUS,0.63052957,0.85304796,0.76894238
1999,AUS,0.63901135,0.8550872,0.78633928
2000,AUS,0.64355177,0.88631053,0.82550471
2001,AUS,0.65974133,0.90471446,0.83882361
2002,AUS,0.68880263,0.92782002,0.87579025
2003,AUS,0.70476806,0.94175652,0.91252207
2004,AUS,0.78994384,0.96629539,0.95646359
2005,AUS,0.87673624,0.99032522,0.9955463
2006,AUS,0.93858411,1.0312239,1.0753888
2007,AUS,0.95734267,1.1049621,1.1234081
2008,AUS,0.99318232,1.1716387,1.1883329
2009,AUS,1.1439495,1.1786094,1.2242712
2010,AUS,1.319007,1.1930077,1.258257
2011,AUS,1.4671494,1.2036322,1.2924692
1995,BRA,0.2273526,0.23833928,0.30514319
1996,BRA,0.25465618,0.29456529,0.35311606
1997,BRA,0.27091633,0.32718015,0.37690902
1998,BRA,0.27953367,0.3447197,0.39579337
1999,BRA,0.31395818,0.36721319,0.41938826
2000,BRA,0.36155708,0.39625622,0.42856094
2001,BRA,0.39918824,0.43755828,0.46251821
2002,BRA,0.45633138,0.47640985,0.52352804
2003,BRA,0.57130813,0.53598778,0.58208533
2004,BRA,0.63388469,0.58197807,0.61235226
2005,BRA,0.67937326,0.63250367,0.65084694
2006,BRA,0.71078762,0.66753026,0.70842257
2007,BRA,0.74262887,0.70775027,0.75388114
2008,BRA,0.84832427,0.7629532,0.79533488
2009,BRA,0.83362188,0.8148523,0.85734377
2010,BRA,0.83724035,0.86998149,0.91934099
2011,BRA,0.83145777,0.92546407,0.98133821
1995,CHN,0.33125092,0.25866242,0.19788512
1996,CHN,0.3467831,0.27787288,0.21195411
1997,CHN,0.34416026,0.2921125,0.22452485
1998,CHN,0.33300471,0.30520172,0.23709327
1999,CHN,0.32489758,0.30787821,0.24481988
2000,CHN,0.3297079,0.32004463,0.25569656
2001,CHN,0.3277835,0.33175892,0.27038771
2002,CHN,0.32285304,0.33811455,0.27651893
2003,CHN,0.32684692,0.34547627,0.28693585
2004,CHN,0.35454219,0.36163426,0.30138251
2005,CHN,0.36920457,0.37478569,0.31156652
2006,CHN,0.37491569,0.38545882,0.31760429
2007,CHN,0.39296122,0.40742366,0.3414296
2008,CHN,0.43057399,0.42586523,0.36090674
2009,CHN,0.4094513,0.44011802,0.36891086
2010,CHN,0.38623973,0.45236167,0.37726775
2011,CHN,0.3639978,0.4636749,0.38641538
1995,DEU,0.81205935,1.0077716,0.93897563
1996,DEU,0.81093974,1.0068831,0.94783547
1997,DEU,0.81594247,1.0186362,0.95817643
1998,DEU,0.81701633,1.0201588,0.95475875
1999,DEU,0.80995359,1.0172063,0.97442439
2000,DEU,0.83449978,1.0208588,0.96215542
2001,DEU,0.84296411,1.0338746,0.97530369
2002,DEU,0.84078907,1.043162,0.99257082
2003,DEU,0.84159175,1.0462429,1.017643
2004,DEU,0.85247684,1.0501367,1.0376712
2005,DEU,0.87256735,1.0627999,1.0468885
2006,DEU,0.89333535,1.074892,1.034612
2007,DEU,0.91343433,1.0817247,1.0331977
2008,DEU,0.94655054,1.1062669,1.0356146
2009,DEU,0.92155637,1.1087404,1.0568399
2010,DEU,0.89639844,1.1090912,1.0792034
2011,DEU,0.86972245,1.1083163,1.102722
1995,IND,0.20131439,0.19032328,0.1755556
1996,IND,0.21383685,0.20612299,0.18576396
