year,iso_i,k_ppi_G,k_ppi_H,k_ppi_L,real_k_G,real_k_H,real_k_L,er_i,k_G_usd,k_H_usd,k_L_usd
1995,AUS,100,100,100,324414.07,99201.493,1650675.8,0.741497,240552.06,73557.609,1223971.1
1996,AUS,96.798302,94.40116,96.553313,338938.36,109708.88,1609839,0.782946,256874.07,81086.946,1216974.4
1997,AUS,96.499113,90.605225,95.146363,357343.05,122288.97,1578383.2,0.744063,256577.38,82442.326,1117414.7
1998,AUS,94.823132,87.782725,94.937337,372405.41,135442.25,1559545.5,0.629401,222258.16,74832.565,931885.43
1999,AUS,90.157672,84.535556,91.211875,386221.35,152639.42,1555331.2,0.645333,224710.23,83270.275,915499.54
2000,AUS,93.948057,82.183363,90.482806,397376.97,172038.73,1539604,0.582346,217406.03,82336.277,811252.76
2001,AUS,91.890426,78.0507,89.749522,409159.97,191473.67,1538562.7,0.517636,194620.18,77358.91,714779.05
2002,AUS,89.446375,71.20368,86.200172,427984.9,213348.5,1557693.2,0.543903,208215.3,82625.382,730317.18
2003,AUS,82.140445,62.531962,80.010793,454261.7,241226.13,1591505.3,0.651884,243239.16,98332.418,830093.47
2004,AUS,78.994152,57.499445,78.445458,489304.92,276818.81,1637399.8,0.736579,284704.19,117240.75,946110.48
2005,AUS,77.530153,50.8254,75.874364,538110.58,322227.74,1693181.8,0.763844,318674.16,125097.43,981303.46
2006,AUS,73.098123,47.798403,72.918712,589106.67,376977.12,1765193.9,0.75335,324412.03,135745.41,969679.47
2007,AUS,65.188365,42.917555,66.636046,659922.06,448032.65,1872194.6,0.838561,360742.57,161242.41,1046152.2
2008,AUS,66.522588,43.795957,67.999899,730506.17,518168.72,1981671.2,0.855265,415617.4,194091.23,1152499
2009,AUS,65.465644,43.100105,66.919483,799898.44,586628.3,2091485.2,0.791304,414373.2,200071.25,1107517.9
2010,AUS,64.4087,42.404253,65.839067,869290.72,655087.87,2201299.3,0.919499,514826.43,255423.14,1332643.6
2011,AUS,63.351756,41.708401,64.758651,938682.99,723547.44,2311113.3,1.03221,613826.55,311500.41,1544852.7
1995,BRA,100,100,100,354672.97,137443.04,1941488.5,1.09202,387309.98,150090.55,2120144.3
1996,BRA,103.84795,102.9394,107.36086,401241.32,133466.23,1961697.7,0.995325,414732.89,136747.03,2096249.5
1997,BRA,105.49672,103.43669,111.94675,453169.66,131359.7,1988730.2,0.928042,443677.5,126096.9,2066117.5
1998,BRA,102.44512,97.94807,111.82842,504107.13,129866.98,2016507.7,0.862287,445313.6,109684.8,1944481.9
1999,BRA,108.3371,100.41666,118.14121,550823.05,127786.6,2038961.1,0.554318,330786.88,71129.552,1335270.7
2000,BRA,118.62127,109.01998,131.68725,605294.08,127902.46,2065944.9,0.547301,392966.24,76315.234,1488979.4
2001,BRA,130.37925,117.50326,141.49333,663921.04,129231.18,2093694.7,0.428403,370832.18,65053.361,1269117.5
2002,BRA,147.67883,129.86045,157.26944,716043.82,129897.45,2117570.2,0.353546,373855.51,59638.052,1177411
2003,BRA,166.36599,145.50824,175.4871,761559.15,130036.92,2137698.6,0.326987,414284.48,61870.659,1226654.2
2004,BRA,171.63518,149.19892,187.73676,820694.94,132936.58,2167768,0.342416,482327.61,67914.772,1393529.6
2005,BRA,167.14229,145.47902,186.51496,897843.9,138996.16,2206355.2,0.412599,619177.77,83431.75,1697920.2
2006,BRA,153.37507,136.06386,179.41197,1013767.1,151122.3,2264128.1,0.459701,714773.49,94525.023,1867359.2
2007,BRA,150.68071,133.84203,182.15287,1166680,168986.14,2339821.7,0.513595,902880.35,116162.08,2188968.8
2008,BRA,160.31999,142.40411,193.80547,1339299.3,189256.86,2430960,0.545326,1170904.6,146970.56,2569212.7
2009,BRA,166.7344,148.1017,201.55964,1475924.8,202897.55,2502579.1,0.500143,1230789.1,150290.33,2522816
2010,BRA,173.14881,153.7993,209.3138,1612550.3,216538.23,2574198.2,0.568432,1587125.6,189307.34,3062798.1
2011,BRA,179.56322,159.4969,217.06797,1749175.8,230178.91,2645817.3,0.59779,1877584.5,219465.58,3433240.6
1995,CHN,100,100,100,8265503.9,544147.81,8948666.5,0.119746,989761.03,65159.524,1071567
1996,CHN,104.5694,104.5694,104.5694,8496331.3,676392.9,9602016,0.120277,1068608.6,85071.923,1207673.8
1997,CHN,104.56007,104.56007,104.56007,8709567.3,797057.72,10224921,0.120628,1098526.6,100531.87,1289656.3
1998,CHN,103.5497,103.5497,103.5497,8899393,905720.73,10807002,0.120788,1113097.1,113283.58,1351692.4
1999,CHN,104.34714,104.34714,104.34714,9080473.4,1006694.4,11372323,0.120798,1144586.9,126893.07,1433472.8
2000,CHN,104.67488,104.67488,104.67488,9250167.7,1100020,11916100,0.120794,1169600.2,139087.59,1506683.2
2001,CHN,106.9432,106.9432,106.9432,9423254.7,1189774.5,12462867,0.120818,1217547,153726.75,1610285.1
2002,CHN,109.41638,109.41638,109.41638,9601079.8,1276714,13014811,0.120816,1269190.6,168772,1720460.3
2003,CHN,114.89569,114.89569,114.89569,9804939.5,1366238.6,13607742,0.120817,1361058.2,189652.39,1888938.6
2004,CHN,124.25112,124.25112,124.25112,10060909,1464718,14285838,0.120818,1510320.6,219880.13,2144557.4
2005,CHN,132.2071,132.2071,132.2071,10355535,1569046.1,15027176,0.12205,1670956.3,253179.34,2424766.7
2006,CHN,138.22237,138.22237,138.22237,10672402,1675494.4,15804684,0.125428,1850269.5,290479.72,2740051
2007,CHN,144.90472,144.90472,144.90472,11014867,1785075.4,16624343,0.131487,2098672.2,340111.96,3167450.4
2008,CHN,160.12739,160.12739,160.12739,11442408,1911992.3,17586603,0.14397,2637880.1,440781.91,4054334.7
2009,CHN,149.97575,149.97575,149.97575,11767738,2011942.9,18377629,0.146383,2583477.5,441699.92,4034606.3
2010,CHN,139.8241,139.8241,139.8241,12093069,2111893.5,19168656,0.14772,2497801.2,436207.72,3959250.6
2011,CHN,129.67245,129.67245,129.67245,12418400,2211844.2,19959682,0.154796,2492717.8,443978.55,4006462.6
1995,DEU,100,100,100,723357.31,674911.35,4831694.6,1.3662646,988297.49,922107.49,6601373.2
1996,DEU,100.39019,98.16287,98.804159,727287.49,701968.76,4975528.1,1.3002358,949335.07,895956.96,6391996.4
1997,DEU,100.2939,96.761854,98.020385,729504.34,731840.59,5115737.5,1.1294547,826363.6,799814.87,5663611.6
1998,DEU,99.901881,93.629353,96.463795,736319.83,769697.5,5253804.8,1.1130765,818776.16,802152.84,5641093.6
1999,DEU,98.749691,88.74467,94.152083,746250.95,811292.75,5398778.8,1.0658,785409.87,767353.7,5417528.2
2000,DEU,98.568368,87.766663,93.897831,757769.43,859983.46,5538220.2,0.9236,689856.2,697113.69,4802968.1
2001,DEU,97.895508,84.371481,92.495571,768184.43,899712.49,5659117.1,0.8956,673507.37,679850.64,4687957.9
2002,DEU,99.941677,79.436957,90.185505,768051.21,927395.08,5765485,0.9456,725845.65,696618.26,4916771.8
2003,DEU,97.208632,76.058434,88.853031,767281.4,954254.02,5865304,1.1312,843721.08,821014.4,5895249.2
2004,DEU,97.666491,76.617834,89.771518,765369.92,975274.01,5960791.3,1.2439,929827.62,929484.15,6656224.4
2005,DEU,95.285443,71.084418,86.996042,763525.96,1012537.2,6057099.1,1.2441,905118.94,895448.62,6555705.8
2006,DEU,92.633864,65.253372,83.825294,769219.65,1063776.2,6176314.2,1.2556,894687.67,871574.52,6500634.9
2007,DEU,93.01921,63.953537,82.407709,778973.89,1126136.6,6296175.1,1.3705,993057.94,987039.83,7110885.4
2008,DEU,93.404557,62.653702,80.990124,788728.13,1188497,6416036,1.4708,1083550.1,1095212.7,7642799.7
2009,DEU,93.789903,61.353867,79.572539,798482.37,1250857.4,6535896.9,1.3948,1044559.9,1070438.4,7254046.7
2010,DEU,94.17525,60.054032,78.154955,808236.61,1313217.9,6655757.8,1.3257,1009068.3,1045500.4,6896032.2
