year,iso_j,PC_G,INV_G,PX_G,PC_H,INV_H,PX_H,PC_L,INV_L,PX_L
1995,AUS,66113.103,-355.89541,77912.754,61627.273,2.0332551,4345.5639,146559.6,286.54578,9179.7005
1996,AUS,71638.162,64.796109,85872.016,67815.161,2.2013235,5035.7819,162276.67,463.19937,10515.852
1997,AUS,69456.315,248.02662,83210.444,68885.635,0.9601391,6775.6554,165371,363.11131,15151.946
1998,AUS,62128.016,1601.7724,73679.455,61928.013,0.9647162,6330.4627,149147.35,782.73725,14548.571
1999,AUS,65879.308,1135.3843,79417.641,68249.943,0.91653425,7591.7981,160592.02,593.79627,18181.444
2000,AUS,63121.779,322.49352,65043.054,66286.524,0.65580398,7138.0575,156081.22,264.6574,17992.973
2001,AUS,58058.358,95.581334,64363.833,62949.815,0.52833796,6762.3331,147031.54,166.56323,18421.905
2002,AUS,63540.691,-734.83916,78362.785,71129.586,0.34754199,7654.8983,165508.03,1.3550107,21909.038
2003,AUS,80038.548,2068.1085,103606.22,91701.899,0.12165136,10003.714,210978.09,571.54013,28599.67
2004,AUS,96405.609,1354.8795,130439.52,112493.16,0.16636004,11730.44,251592.49,927.14103,33083.427
2005,AUS,103555.93,-518.33607,151303.89,127299.82,0.05337321,13807.865,270701.3,352.21048,39400.652
2006,AUS,106002.39,1638.3535,165110.32,139804.82,0.29379269,14837.437,282415.57,1139.9596,41235.06
2007,AUS,125205.73,3113.5642,205139.53,165974.43,0.42949232,19887.885,341335.1,1710.9275,54233.063
2008,AUS,138954.1,-2268.97,215184.23,185224.07,-0.1173052,20350.471,373007.13,-253.65929,54368.984
2009,AUS,142879.68,-2810.0277,204944.66,185425.38,-0.07238075,19434.802,377801.79,-167.38357,48186.085
2010,AUS,173758.86,1242.5353,247083.08,234543.89,0.31567746,23871.116,465658.72,1225.5306,58219.373
2011,AUS,198084.73,3331.8871,300910.89,274190.01,0.50694549,30402.743,535021.26,1936.873,73273.204
1995,BRA,163137.28,-1662.7306,114589.97,167042.67,-23.884695,1454.6063,274306.43,-245.00993,13946.423
1996,BRA,174483.21,1139.2748,116744.1,178971.52,20.348205,1391.0996,317967.18,225.66036,13232.981
1997,BRA,178542.77,245.72832,124967.19,182904.81,5.6108121,1444.2658,336713.99,55.922102,14031.172
1998,BRA,167132.66,360.67029,117724.65,180408.83,6.0657181,1464.2356,330623.4,61.239901,13783.402
1999,BRA,117143.91,3085.2935,75205.772,124920.24,66.664656,984.02142,229446.83,651.06718,8960.7812
2000,BRA,131221.65,7036.2241,88305.986,128513.12,126.92005,953.87616,245326.91,1335.8543,9204.3787
2001,BRA,111440.88,4217.8762,76672.829,110378.57,68.092644,825.62626,212141.94,781.11629,8421.7858
2002,BRA,99925.472,-624.96061,69872.983,106700.02,-18.568762,739.29768,195575.65,-211.88241,7630.0425
2003,BRA,111449.45,2289.288,68963.413,111945.95,23.08298,752.23922,200233.65,268.39105,8290.0151
2004,BRA,131390.12,5174.043,87363.898,125593.76,66.863439,828.62987,233506.67,921.97263,10021.305
2005,BRA,174946.12,1805.0047,113167.38,167887.61,20.268665,1197.4889,321651.86,264.08471,14262.891
2006,BRA,212215.83,2788.2044,141037.32,214163.08,34.32816,1763.4407,391475.52,429.97352,20145.615
2007,BRA,265811.48,9102.9173,186068.95,269253.07,134.61314,2401.2045,489763.64,1779.5822,28732.021
2008,BRA,329010.56,19649.399,244343.74,312386.46,277.07601,3181.3432,577965.52,3689.1251,38469.295
2009,BRA,333706.15,-4393.1414,216211.02,327404.39,-135.09004,2476.301,606421.48,-1812.6816,29717.415
2010,BRA,419663.62,13110.608,307359.43,415617.47,137.54909,3575.4922,767131.77,1913.2262,42267.445
2011,BRA,461327.92,8708.3433,349000.94,483551.81,85.243108,4175.8044,899274.13,1191.3509,49179.878
1995,CHN,226644.7,45722.679,235100.79,64584.358,105.19321,30.186398,118432.19,5401.2498,12528.17
1996,CHN,273793.52,47772.408,273225.1,82285.334,109.23389,28.450542,138752.22,5594.9183,13572.676
1997,CHN,290653.81,41818.857,296954.45,100326.67,0,18.954423,158658.68,3982.4274,14312.714
1998,CHN,300037.58,28981.018,323609.26,109912.53,0,449.61844,187693.67,2878.7439,18212.684
1999,CHN,314135.39,25982.925,345066.9,123066.74,0,741.5581,218919.29,2652.2637,20035.92
2000,CHN,344908.53,10642.683,382330.89,142454.57,0,942.89183,259994.39,1506.8007,22053.458
2001,CHN,358769.7,22220.279,425532.24,158978.93,0,1257.5386,297079.08,2365.005,25297.799
2002,CHN,367676.7,21265.176,489766.38,169448.62,0,1708.2891,327523.65,2082.5369,30805.001
2003,CHN,372593.19,27990.027,594338.88,188771.05,0,2601.4829,365955.88,1665.0094,42738.392
2004,CHN,405880.06,46110.474,718091.67,217622.22,0,3615.0657,421211.56,2614.0486,59130.513
2005,CHN,421468.82,37116.871,857979.18,251906.63,0,4602.5918,473858.6,2152.4664,74529.268
2006,CHN,471623.3,48136.79,1031952.3,301780.5,0,5028.6766,546391.81,2706.862,86621.211
2007,CHN,597582.98,80920.187,1268144.3,411366.46,0,5450.7945,708631.64,2106.1425,102395.81
2008,CHN,758665.55,142027.72,1689977.2,525580.4,0,7529.0218,895111.77,3670.0595,135756.88
2009,CHN,798434.96,105868.72,2078366.5,577747.32,0,10430.863,982640.02,2749.3202,192682.2
2010,CHN,964284.3,142913.16,2462470.1,691547.44,0,11172.975,1188445.6,3693.5263,222696.24
