year,iso_i,Y_G_usd_i,ii_G_usd_i,va_G_usd_i,Y_H_usd_i,ii_H_usd_i,va_H_usd_i,Y_L_usd_i,ii_L_usd_i,va_L_usd_i
1995,AUS,290467.06,178462.17,103497.83,148443.11,58356.978,88519.221,313584.81,146568.99,160127.98
1996,AUS,318271.52,196779.36,111964.2,162466.1,61398.085,99410.752,348661.66,160625.46,180531.45
1997,AUS,316334.13,195467.31,112286.83,167146.53,63720.418,101613.03,349197.61,161084.42,180670.68
1998,AUS,282030.37,176805.88,98164.375,155328.54,61200.236,92312.434,314770.96,147254.57,160980.16
1999,AUS,300768.31,186807.22,106825.35,175655.75,70651.408,102867.05,338696.14,158731.22,172750.17
2000,AUS,279944.39,172083.04,100715.69,173493.17,68261.058,102994.53,327667.94,157808.04,162077.81
2001,AUS,266082.49,163560.05,96314.17,162256.99,63026.292,97140.56,307578.95,146301.96,154297.38
2002,AUS,296203.06,184780.36,104510.39,179286.74,68419.278,108442.75,343059.05,161272.14,173786.42
2003,AUS,377136.71,234061.93,134681.67,231641.83,87868.245,140704.44,435138.22,202084.21,223165.86
2004,AUS,475559.62,298472.45,166917.14,279083.94,105026.56,170648.32,519918.29,241877.29,266887.58
2005,AUS,534665.27,329927.58,193365.34,313144.75,116936.95,192436.33,565553.23,262693.86,290690.97
2006,AUS,576180.53,357488.4,206240.14,346193.75,128985.25,213231.51,589025,272602.09,303755.44
2007,AUS,684136.24,424245.89,245184.77,420673.68,158457.47,257389.65,716411.33,330172.17,371360.62
2008,AUS,757383.92,470789.31,271756.05,476170.2,180357.6,290861.26,783972.25,362550.56,406887.19
2009,AUS,754832.6,460979.33,280617.89,466606.63,177584.96,284004.63,747456.37,346760.99,386881.25
2010,AUS,951413.25,568141.18,366711.86,584914.99,222004.11,356717.23,918717.51,425653.68,476053.08
2011,AUS,1093939,650702.66,423971.15,686875.54,260663.08,419063.64,1063788.6,493600.05,550645.54
1995,BRA,555888.45,318762.84,206493.22,263956.48,86965.069,169319.5,441681.51,130958.28,296949
1996,BRA,586737.18,340572.19,213741.25,279256.55,90100.248,181776.12,500253.49,142337.2,343874.59
1997,BRA,604559.06,349616.6,222626.39,285340.21,94502.253,183331.62,530718.64,151458.66,364898.2
1998,BRA,569155.68,327955.08,210014.63,283921.56,96642.356,179844.44,527288.15,156124.4,356880.49
1999,BRA,406065.29,235999.09,145051.75,195569.54,65862.031,124163.1,368261.21,112021.28,245104.41
2000,BRA,483574.01,289029.25,167369.81,203059.23,73985.442,122770.48,409921.14,128534.53,269007.65
2001,BRA,417380.28,249432.44,143259.1,173028.27,60927.474,106422.45,357707.5,116062.62,229532.27
2002,BRA,398184.25,237827.29,136629.75,167817.05,58794.602,103430.71,331639.83,110077.43,210054.28
2003,BRA,458360.86,279830.71,152952.19,173454.39,60620.263,107197.46,346780.5,114259.26,220726.42
2004,BRA,568816.13,346795.28,189112.41,195100.55,70945.142,117113.13,411520.46,132674.44,264334.55
2005,BRA,735939.37,455921.39,236855.1,265055.96,90715.655,165170.26,561390.12,183322.89,358088.24
2006,BRA,871291.91,535315.5,285061.8,338819.23,116327.13,210535.16,684963.43,221258.57,439626.34
2007,BRA,1083707.3,670064.15,350149.87,431903.64,144335.88,273362.85,861709.94,280631.84,551531.12
2008,BRA,1354367.8,841004.56,431562.81,506146.92,169552.55,319101.63,1034414.8,340850.17,656336.6
2009,BRA,1193417.2,715639.88,410289.31,517800.41,171952.99,328780.39,1029936.6,335771.68,658519.39
2010,BRA,1562665,930682.46,538045.58,662293.78,218993.23,420527.27,1321851.2,429354.58,844761.55
2011,BRA,1719966,1007693.6,604975.84,762043.23,251057.23,483863.79,1519062.3,490695.97,971644.61
1995,CHN,1392169.7,914117.5,472838.47,135907.13,65684.771,69733.025,360741.18,174638.73,185433.41
1996,CHN,1647730.4,1083869,558333.21,163194.93,80439.082,82240.761,418440.78,202199.16,215538.06
1997,CHN,1797032.2,1184489.4,605397.78,197824.86,99790.561,97355.948,485897.89,234982.62,249898.05
